,Name,Retail,Groc,Transit,Workplace,Res,Park
0,AR,-83,-29,-61,-52,+28,-92
1,Buenos Aires,-87,-24,-71,-71,+38,-93
2,Buenos Aires Province,-83,-28,-58,-55,+29,-94
3,Catamarca Province,-73,-9%,-54,-29,+22,-90
4,Chaco Province,-81,-27,-76,-41,+22,-92
5,Chubut Province,-83,-32,-76,-47,+28,-92
6,Cordoba,-83,-34,-77,-50,+28,-93
7,Corrientes,-79,-35,-76,-36,+22,-89
8,Entre Rios,-81,-30,-72,-37,+23,-92
9,Formosa Province,-83,-18,-3%,-27,+17,-85
10,Jujuy,-81,-32,-80,-37,+23,-87
11,La Pampa,-82,-31,-67,-42,+25,-89
12,La Rioja Province,-75,-25,-63,-43,+24,-95
13,Mendoza Province,-80,-29,-49,-46,+29,-90
14,Misiones Province,-78,-34,-81,-34,+22,-82
15,Neuquen,-84,-38,-62,-54,+33,-92
16,Río Negro,-86,-46,-91,-50,+31,-90
17,Salta Province,-80,-32,-40,-41,+23,-87
18,San Juan Province,-78,-12,-77,-37,+24,-92
19,San Luis Province,-85,-39,-79,-47,+26,-93
20,Santa Cruz Province,-80,-32,-88,-45,+27,-87
21,Santa Fe Province,-81,-28,-32,-47,+27,-94
22,Santiago del Estero Province,-80,-31,-82,-43,+23,-87
23,Tierra del Fuego Province,-85,-50,-83,-63,+35,-89
24,Tucumán,-79,-22,-59,-43,+23,-84
