,Name,Retail,Groc,Transit,Workplace,Res,Park
0,BG,-58,-19,-62,-73,+26,-35
1,Blagoevgrad Province,-63,-27,-59,-69,+23,-31
2,Burgas,-51,-12,-60,-66,+21,-19
3,Dobrich Province,-49,-13,Not,-62,+19,-13
4,Gabrovo,-61,-14,Not,-74,+10,-6%
5,Haskovo Province,-55,-18,-67,-65,+22,-1%
6,Jambol,-50,-25,Not,-66,+11,-53
7,Kardzhali Province,-63,-40,-74,-65,+12,-24
8,Kyustendil Province,-49,-25,-46,-68,+10,-10
9,Lovec,-60,-23,Not,-67,+9%,+23
10,Montana Province,-43,-17,-67,-65,+5%,+4%
11,Pazardzhik,-59,-18,-44,-70,+24,-16
12,Pernik,-49,-2%,Not,-73,+12,-46
13,Pleven Province,-61,-25,Not,-67,+23,-25
14,Plovdiv Province,-61,-17,-58,-74,+28,-44
15,Razgrad,-57,-29,Not,-63,+11,Not
16,Ruse,-54,-23,-57,-71,+25,-13
17,Shumen Province,-54,-21,-60,-66,+9%,-33
18,Silistra,-49,-23,Not,-58,-3%,Not
19,Sliven Province,-56,-14,-51,-65,+10,-32
20,Smoljan,-62,-68,Not,-67,+2%,-21
21,Sofia City Province,-64,-21,-68,-81,+34,-59
22,Sofia Province,-44,-10,Not,-72,+26,+2%
23,Stara Zagora,-57,-25,+7%,-73,+27,-32
24,Targovishte Province,-57,-26,Not,-62,+2%,Not
25,Varna,-56,-17,-71,-71,+25,-36
26,Veliko Tarnovo Province,-60,-28,-55,-69,+23,-29
27,Vidin,-62,-29,Not,-62,Not,Not
28,Vraca,-50,-19,-44,-64,+7%,+28
