,Name,Retail,Groc,Transit,Workplace,Res,Park
0,CA,-53,-22,-67,-59,+27,-22
1,Alberta,-45,-11,-67,-52,+24,-28
2,British Columbia,-45,-18,-59,-53,+21,+28
3,Manitoba,-39,-10,-58,-48,+21,-2%
4,New Brunswick,-43,-24,-59,-55,+24,-24
5,Newfoundland and Labrador,-43,-24,-61,-44,+21,+2%
6,Northwest Territories,-53,-41,-53,-45,Not,Not
7,Nova Scotia,-50,-27,-68,-58,+24,-41
8,Nunavut,-36,Not,Not,-32,Not,Not
9,Ontario,-56,-23,-69,-62,+28,-33
10,Prince Edward Island,-46,-17,Not,-53,+23,-51
11,Quebec,-59,-28,-72,-64,+30,-37
12,Saskatchewan,-43,-12,-53,-48,+20,+4%
13,Yukon,-41,-26,Not,-42,Not,Not
