,Name,Retail,Groc,Transit,Workplace,Res,Park
0,CH,-77,+11,-47,-41,+15,+27
1,Aargau,-74,+19,-32,-36,+15,+99
2,Appenzell Ausserrhoden,-62,+13,-21,-33,Not,Not
3,Appenzell Innerrhoden,-80,Not,Not,-84,Not,Not
4,Basel City,-83,+3%,-63,-37,+21,+2%
5,Basel-Landschaft,-74,+20,-33,-37,+20,+11
6,Canton of Bern,-76,+10,-50,-36,+14,+25
7,Canton of Zug,-68,+46,-40,-44,+22,Not
8,Fribourg,-74,+20,-37,-41,+17,+48
9,Geneva,-80,-8%,-74,-49,+19,+12
10,Glarus,-87,-6%,+5%,-35,Not,Not
11,Grisons,-85,-15,-65,-49,+14,-35
12,Jura,-82,+12,-34,-40,+14,Not
13,Lucerne,-73,+24,-47,-39,+15,+13
14,Neuchâtel,-70,+8%,-37,-47,+23,-18
15,Nidwalden,-62,+0%,-50,-46,Not,-5%
16,Obwalden,-83,-4%,-40,-40,Not,-49
17,Schaffhausen,-63,+30,-34,-39,+2%,Not
18,Schwyz,-58,+34,-26,-36,+17,+55
19,Solothurn,-68,+20,-42,-35,+14,+10
20,St. Gallen,-74,+27,-25,-36,+13,+11
21,Thurgau,-71,+24,-29,-24,+13,+74
22,Ticino,-83,-21,-50,-50,+20,-18
23,Uri,-74,+0%,-54,-48,Not,Not
24,Valais,-85,-8%,-60,-52,+18,-35
25,Vaud,-80,+7%,-49,-46,+18,+17
26,Zurich,-78,+20,-55,-43,+15,+96
