,Name,Retail,Groc,Transit,Workplace,Res,Park
0,CL,-62,-36,-60,-47,+28,-62
1,Antofagasta,-50,-36,-52,-34,+23,-61
2,Araucania,-74,-51,-72,-55,+32,-66
3,Arica y Parinacota,-89,-74,-84,-62,+34,-85
4,Atacama,-48,-33,-67,-28,+24,-51
5,Aysén,-55,-27,-72,-30,+19,-60
6,Bio Bio,-58,-36,-52,-42,+26,-58
7,Coquimbo,-63,-43,-61,-38,+23,-71
8,Los Lagos,-66,-44,-63,-42,+28,-67
9,Los Ríos,-67,-42,-66,-41,+29,-74
10,Magallanes and Chilean Antarctica,-77,-56,-82,-57,+28,-72
11,Maule,-53,-33,-51,-29,+23,-52
12,O'Higgins,-50,-31,-49,-29,+22,-51
13,Santiago Metropolitan Region,-63,-30,-61,-53,+32,-57
14,Tarapacá,-62,-34,-52,-38,+26,-66
15,Valparaíso,-62,-42,-57,-40,+24,-66
16,Ñuble,-68,-55,-83,-65,+17,-55
