,Name,Retail,Groc,Transit,Workplace,Res,Park
0,CO,-76,-49,-75,-66,+35,-67
1,Amazonas Department,-87,-46,Not,-32,Not,-61
2,Antioquia,-78,-50,-78,-68,+35,-68
3,Arauca,-64,-39,-54,-46,+12,-57
4,Atlantico,-77,-50,-81,-67,+31,-71
5,Bogota,-77,-46,-76,-73,+43,-66
6,Bolivar,-81,-61,-87,-66,+30,-80
7,Boyaca,-74,-55,-76,-58,+31,-68
8,Caldas,-79,-56,-88,-63,+32,-68
9,Caquetá,-71,-52,Not,-51,+27,-66
10,Casanare,-73,-52,-69,-53,+32,-58
11,Cauca,-74,-50,-74,-57,+28,-64
12,Cesar,-77,-54,-81,-55,+28,-63
13,Choco,-66,-44,-67,-41,+19,-44
14,Cordoba,-73,-49,-68,-57,+25,-54
15,Cundinamarca,-71,-48,-71,-61,+37,-64
16,Guaviare,-84,-86,Not,-35,Not,-53
17,Huila,-74,-48,Not,-58,+29,-68
18,La Guajira,-68,-42,-69,-44,+24,-61
19,Magdalena,-77,-56,-84,-59,+26,-77
20,Meta,-76,-55,-59,-58,+33,-62
21,Narino,-79,-59,-68,-63,+30,-66
22,North Santander,-78,-48,-81,-61,+29,-65
23,Putumayo,-66,-61,-73,-39,+24,-57
24,Quindio,-81,-54,-89,-66,+30,-76
25,Risaralda,-78,-53,-81,-68,+33,-74
26,San Andrés and Providencia,-83,-58,-80,-58,Not,-78
27,Santander,-75,-49,-76,-65,+32,-66
28,Sucre,-77,-49,-89,-48,+24,-67
29,Tolima,-78,-57,-85,-61,+30,-65
30,Valle del Cauca,-74,-48,-71,-64,+31,-70
31,Vichada,-67,Not,Not,-16,Not,-35
