,Name,Retail,Groc,Transit,Workplace,Res,Park
0,CZ,-67,+4,-37,-27,+7,+9
1,Central Bohemian Region,-56,+8%,+6%,-27,+8%,+10
2,Hradec Králové Region,-65,+1%,-38,-26,+7%,+22
3,Karlovy Vary Region,-73,-2%,-43,-29,+5%,-11
4,Liberec Region,-64,+5%,-33,-28,+7%,+40
5,Moravian-Silesian Region,-64,+13,-39,-24,+7%,+43
6,Olomouc Region,-68,+12,-48,-26,+7%,+44
7,Pardubice Region,-70,+4%,-55,-23,+7%,+51
8,Plzeň Region,-69,+2%,-28,-29,+6%,+49
9,Prague,-73,-13,-54,-31,+7%,-66
10,South Bohemian Region,-69,+3%,-32,-23,+6%,+43
11,South Moravian Region,-66,+4%,-31,-28,+7%,+41
12,Vysocina Region,-67,+12,-23,-23,+7%,+94
13,Zlin Region,-67,+8%,-38,-31,+8%,+44
14,Ústí nad Labem Region,-68,+13,-21,-22,+5%,+66
