,Name,Retail,Groc,Transit,Workplace,Res,Park
0,DE,-55,-4,-49,-43,+16,+49
1,Baden-Württemberg,-56,-5%,-51,-45,+18,+40
2,Bavaria,-66,-7%,-56,-46,+19,+25
3,Berlin,-64,+0%,-52,-51,+18,+13
4,Brandenburg,-45,+4%,-39,-38,+14,+37
5,Bremen,-59,-2%,-52,-43,+16,+65
6,Hamburg,-64,+3%,-54,-48,+19,+86
7,Hesse,-54,-4%,-60,-45,+17,+71
8,Lower Saxony,-52,-7%,-43,-41,+16,+53
9,Mecklenburg-Vorpommern,-58,-6%,-40,-33,+12,+30
10,North Rhine-Westphalia,-51,-3%,-50,-44,+16,+90
11,Rhineland-Palatinate,-50,-5%,-56,-43,+17,+55
12,Saarland,-53,-13,-59,-46,+17,+48
13,Saxony,-59,-4%,-44,-37,+14,+59
14,Saxony-Anhalt,-45,-3%,-41,-30,+11,+48
15,Schleswig-Holstein,-52,-5%,-44,-43,+16,+66
16,Thuringia,-46,-7%,-36,-37,+12,+60
