,Name,Retail,Groc,Transit,Workplace,Res,Park
0,EE,-46,-16,-46,-48,+20,-2
1,Harju County,-48,-18,-52,-52,+22,-5%
2,Ida-Viru County,-33,-11,-30,-41,+14,-39
3,Järva County,-37,-14,Not,-37,Not,Not
4,Jõgeva County,-38,-14,Not,-36,Not,Not
5,Lääne County,-48,-28,Not,-42,Not,Not
6,Lääne-Viru County,-43,-18,-25,-41,+5%,Not
7,Pärnu County,-47,-17,-47,-46,+18,-21
8,Põlva County,-77,-12,Not,-47,Not,Not
9,Rapla County,-70,-11,Not,-47,Not,Not
10,Saare County,-84,-41,-60,-50,Not,Not
11,Tartu County,-50,-19,-48,-51,+22,-2%
12,Valga County,-46,-23,Not,-39,Not,Not
13,Viljandi County,-53,-14,-38,-42,Not,Not
14,Võru County,-75,-5%,Not,-39,Not,Not
