,Name,Retail,Groc,Transit,Workplace,Res,Park
0,EG,-67,-18,-62,-45,+16,-42
1,Al Qalyubia Governorate,-56,-8%,-48,-46,+17,-35
2,Alexandria Governorate,-69,-21,-60,-46,+18,-41
3,Ash Sharqia Governorate,-51,+1%,-48,-38,+14,-34
4,Assiut Governorate,-61,-15,-50,-37,+13,-43
5,Aswan Governorate,-64,-32,-69,-36,+15,+5%
6,Beni Suef Governorate,-54,-2%,-53,-39,+14,-64
7,Cairo Governorate,-75,-28,-65,-51,+18,-56
8,Dakahlia Governorate,-58,-7%,-55,-44,+13,+4%
9,Damietta Governorate,-62,-24,Not,-51,+17,-54
10,El Beheira Governorate,-53,+13,-48,-37,+14,-18
11,Faiyum Governorate,-51,+6%,Not,-38,+14,-42
12,Gharbia Governorate,-60,-14,-64,-45,+15,-60
13,Giza Governorate,-71,-18,-58,-48,+18,-58
14,Ismailia Governorate,-64,-18,-51,-43,+16,-43
15,Kafr El Sheikh Governorate,-49,+1%,-62,-38,+12,-37
16,Luxor Governorate,-59,-27,-91,-37,+15,-60
17,Matrouh Governorate,-44,-8%,Not,-32,+5%,+36
18,Menia Governorate,-53,+8%,-53,-38,+13,-52
19,Menofia Governorate,-56,+7%,-53,-39,+15,-32
20,New Valley Governorate,-2%,Not,Not,-25,Not,Not
21,North Sinai Governorate,-8%,Not,Not,-32,Not,Not
22,Port Said Governorate,-68,-22,-63,-49,+21,-51
23,Qena Governorate,-58,+10,-55,-38,+13,Not
24,Red Sea Governorate,-79,-38,-86,-52,+23,-78
25,Sohag Governorate,-57,+5%,-62,-37,+12,-35
26,South Sinai Governorate,-86,-69,-89,-48,+18,-74
27,Suez Governorate,-55,+19,Not,-34,+15,+42
