,Name,Retail,Groc,Transit,Workplace,Res,Park
0,ES,-89,-45,-81,-67,+33,-77
1,Andalusia,-88,-50,-82,-66,+31,-76
2,Aragon,-88,-43,-79,-62,+32,-70
3,Asturias,-89,-42,-70,-64,+31,-75
4,Balearic Islands,-87,-44,-82,-63,+30,-76
5,Basque Country,-89,-37,-76,-65,+34,-78
6,Canary Islands,-90,-49,-80,-67,+31,-86
7,Cantabria,-88,-46,-78,-63,+32,-76
8,Castile and León,-90,-50,-81,-63,+31,-76
9,Castile-La Mancha,-88,-48,-81,-62,+32,-75
10,Catalonia,-88,-43,-80,-69,+36,-77
11,Ceuta,-93,-52,Not,-65,+4%,-84
12,Community of Madrid,-91,-44,-84,-76,+39,-85
13,Extremadura,-88,-51,-78,-61,+28,-69
14,Galicia,-87,-42,-80,-62,+34,-71
15,La Rioja,-87,-45,-83,-60,+30,-77
16,Melilla,-86,-48,-88,-63,-2%,-80
17,Navarre,-88,-39,-82,-61,+33,-77
18,Region of Murcia,-86,-42,-73,-58,+30,-76
19,Valencian Community,-89,-47,-82,-65,+32,-79
