,Name,Retail,Groc,Transit,Workplace,Res,Park
0,FI,-42,-12,-59,-48,+17,+32
1,Central Finland,-39,-19,-69,-49,+17,+19
2,Central Ostrobothnia,-35,+2%,-64,-39,+15,Not
3,Kainuu,-45,-23,-57,-42,+16,+9%
4,Kymenlaakso,-42,-10,-64,-40,+13,+53
5,Lapland,-55,-24,-69,-47,+17,-27
6,North Karelia,-44,-15,-54,-43,+15,-3%
7,Northern Ostrobothnia,-42,-16,-55,-50,+18,+4%
8,Northern Savonia,-47,-13,-52,-44,+17,+18
9,Ostrobothnia,-35,-7%,-51,-43,+15,-2%
10,Pirkanmaa,-41,-12,-55,-50,+18,+41
11,Päijänne Tavastia,-43,-12,-53,-44,+14,-8%
12,Satakunta,-37,-9%,-41,-38,+14,+58
13,South Karelia,-42,-14,-61,-47,+16,+29
14,Southern Ostrobothnia,-37,-11,-55,-40,+15,-15
15,Southern Savonia,-44,-12,-62,-39,+14,+32
16,Southwest Finland,-41,-11,-48,-45,+16,+54
17,Tavastia Proper,-37,-11,-61,-43,+15,-22
18,Uusimaa,-43,-8%,-63,-55,+20,+36
