,Name,Retail,Groc,Transit,Workplace,Res,Park
0,FR,-81,-33,-79,-68,+35,-62
1,Auvergne-Rhône-Alpes,-81,-34,-81,-67,+35,-61
2,Bourgogne-Franche-Comté,-79,-36,-76,-62,+31,-47
3,Brittany,-81,-34,-79,-64,+34,-53
4,Centre-Val de Loire,-79,-36,-80,-66,+33,-58
5,Corsica,-78,-34,-72,-59,+26,-54
6,Grand Est,-81,-36,-79,-67,+32,-52
7,Hauts-de-France,-80,-32,-80,-67,+32,-59
8,Normandy,-81,-33,-81,-65,+33,-59
9,Nouvelle-Aquitaine,-80,-33,-78,-63,+33,-53
10,Occitanie,-79,-35,-79,-68,+33,-57
11,Pays de la Loire,-81,-34,-82,-67,+35,-53
12,Provence-Alpes-Côte d'Azur,-78,-33,-76,-67,+31,-60
13,Île-de-France,-84,-27,-80,-78,+40,-81
