,Name,Retail,Groc,Transit,Workplace,Res,Park
0,GB,-75,-30,-71,-68,+29,-33
1,Aberdeen City,-80,-27,-67,-71,+30,-6%
2,Aberdeenshire,-65,-31,-54,-68,+27,-20
3,Angus council,-68,-26,-53,-65,+20,-14
4,Antrim And Newtownabbey,-61,-23,-80,-69,+29,-67
5,Ards And North Down,-64,-20,-62,-70,+28,-39
6,Argyll and Bute Council,-72,-37,-57,-65,+8%,-35
7,"Armagh City, Banbridge And Craigavon",-65,-21,-61,-64,+27,-52
8,Bath and North East Somerset,-89,-45,-79,-75,+32,-61
9,Bedford,-77,-28,-66,-65,+29,-2%
10,Belfast,-74,-28,-77,-73,+29,-25
11,Blackburn with Darwen,-72,-26,-62,-62,+25,Not
12,Blackpool,-76,-23,-54,-61,+23,-15
13,Blaenau Gwent,-66,-31,-46,-59,+12,Not
14,Borough of Halton,-64,-29,-53,-62,+26,-26
15,Bracknell Forest,-75,-28,-71,-73,+31,-32
16,Bridgend County Borough,-78,-25,-68,-66,+27,-55
17,Brighton and Hove,-84,-38,-75,-75,+31,-44
18,Buckinghamshire,-73,-32,-70,-71,+32,-27
19,Caerphilly County Borough,-70,-29,-64,-64,+27,-50
20,Cambridgeshire,-77,-29,-74,-70,+30,-17
21,Cardiff,-83,-36,-81,-73,+31,-66
22,Carmarthenshire,-73,-20,-59,-64,+25,-48
23,Causeway Coast and Glens,-72,-21,-57,-65,+27,-38
24,Central Bedfordshire,-71,-27,-65,-69,+31,-4%
25,Ceredigion,-77,-44,-63,-65,+6%,-52
26,Cheshire East,-72,-30,-68,-68,+28,-16
27,Cheshire West and Chester,-78,-32,-67,-68,+28,-18
28,City of Bristol,-84,-37,-83,-74,+35,-43
29,Clackmannanshire,-88,-24,-53,-66,+6%,Not
30,Conwy Principal Area,-71,-31,-54,-65,+23,-45
31,Cornwall,-78,-40,-60,-65,+25,-55
32,County Durham,-68,-28,-56,-65,+26,-13
33,Cumbria,-73,-31,-63,-67,+26,-37
34,Darlington,-73,-30,-70,-63,+26,-30
35,Denbighshire,-68,-24,-54,-63,+14,-33
36,Derby,-73,-28,-77,-67,+27,+17
37,Derbyshire,-74,-26,-55,-65,+27,-14
38,Derry And Strabane,-64,-19,-50,-63,+25,-52
39,Devon,-80,-37,-68,-65,+27,-50
40,Dorset,-79,-35,-66,-68,+28,-47
41,Dumfries and Galloway,-70,-27,-67,-60,+22,-42
42,Dundee City Council,-74,-32,-67,-67,+25,-5%
43,East Ayrshire Council,-69,-25,-57,-64,+25,Not
44,East Dunbartonshire Council,-68,-21,-71,-73,+19,Not
45,East Lothian Council,-74,-26,-55,-70,+17,-19
46,East Renfrewshire Council,-64,-15,-60,-76,+19,-46
47,East Riding of Yorkshire,-71,-28,-43,-64,+26,-32
48,East Sussex,-75,-29,-61,-66,+26,-26
49,Edinburgh,-84,-35,-85,-79,+33,-53
50,Essex,-71,-31,-78,-68,+29,-15
51,Falkirk,-70,-27,-62,-67,+28,-21
52,Fermanagh And Omagh,-70,-24,-51,-62,+27,-35
53,Fife,-71,-22,-60,-67,+26,-25
54,Flintshire,-64,-26,-46,-66,+27,-25
55,Glasgow City,-79,-32,-83,-74,+30,-44
56,Gloucestershire,-80,-37,-68,-67,+29,-43
57,Greater London,-81,-34,-79,-75,+36,-43
58,Greater Manchester,-72,-29,-75,-67,+28,-11
59,Gwynedd,-77,-39,-59,-64,+18,-54
