,Name,Retail,Groc,Transit,Workplace,Res,Park
0,HR,-63,-27,-67,-54,+21,+0
1,Bjelovar-Bilogora County,-61,-29,-73,-46,+17,+36
2,Brod-Posavina County,-58,-25,-79,-47,+17,Not
3,City of Zagreb,-66,-34,-70,-62,+26,+3%
4,Dubrovnik-Neretva County,-62,-29,-58,-55,+20,-15
5,Istria County,-53,-25,-59,-48,+19,+8%
6,Karlovac County,-64,-30,-57,-48,+20,+65
7,Koprivnica-Križevci County,-60,-36,Not,-49,+19,Not
8,Krapina-Zagorje County,-66,-28,-52,-50,+23,Not
9,Lika-Senj County,-71,-35,-76,-45,Not,-55
10,Međimurje County,-58,-24,-74,-41,+19,Not
11,Osijek-Baranja County,-62,-25,-67,-50,+18,+35
12,Požega-Slavonia County,-60,-40,-59,-49,+0%,Not
13,Primorje-Gorski Kotar County,-66,-29,-68,-53,+22,-12
14,Sisak-Moslavina County,-53,-25,-59,-49,+18,-51
15,Split-Dalmatia County,-67,-27,-70,-57,+21,-14
16,Varaždin County,-65,-25,-82,-48,+20,-41
17,Virovitica-Podravina County,-53,-36,-58,-42,+1%,Not
18,Vukovar-Srijem County,-62,-14,-56,-50,+17,Not
19,Zadar County,-63,-23,-65,-50,+18,+9%
20,Zagreb County,-60,-26,-63,-54,+23,+0%
21,Šibenik-Knin County,-59,-19,-60,-51,+15,+3%
