,Name,Retail,Groc,Transit,Workplace,Res,Park
0,HU,-44,-14,-48,-45,+19,+1
1,Baranya,-46,-13,-38,-43,+17,+29
2,Borsod-Abaúj-Zemplén,-35,-14,-31,-39,+15,+45
3,Budapest,-60,-21,-64,-57,+24,-29
4,Bács-Kiskun,-35,-8%,-38,-36,+15,+32
5,Békés County,-34,-9%,-34,-37,+14,+24
6,Csongrád,-44,-16,-40,-44,+18,-10
7,Fejér,-37,-11,-44,-44,+18,+20
8,Gyor-Moson-Sopron,-43,-14,-47,-46,+19,-11
9,Hajdú-Bihar,-41,-12,-46,-40,+16,+12
10,Heves County,-38,-14,-40,-39,+15,-8%
11,Jász-Nagykun-Szolnok,-29,-7%,-34,-36,+14,+52
12,Komárom-Esztergom,-33,-9%,-35,-40,+17,+58
13,Nógrád County,-27,-7%,-27,-38,+15,-29
14,Pest County,-29,-10,-37,-47,+21,+57
15,Somogy County,-27,-7%,-28,-38,+15,+25
16,Szabolcs-Szatmár-Bereg,-30,-17,-29,-36,+14,+11
17,Tolna County,-27,-13,-35,-40,+15,Not
18,Vas County,-40,-13,-42,-40,+17,+32
19,Veszprém,-31,-9%,-32,-41,+17,+34
20,Zala County,-40,-14,-34,-38,+15,-3%
