,Name,Retail,Groc,Transit,Workplace,Res,Park
0,ID,-38,-23,-58,-35,+18,-35
1,Aceh,-22,-13,-48,-22,+10,-22
2,Bali,-46,-36,-74,-41,+20,-61
3,Bangka Belitung Islands,-38,-15,-66,-24,+14,-30
4,Banten,-35,-16,-65,-36,+21,-24
5,Bengkulu,-24,-14,-50,-28,+12,-25
6,Central Java,-32,-20,-53,-31,+16,-37
7,Central Kalimantan,-32,-20,-43,-25,+10,-31
8,Central Sulawesi,-33,-18,-53,-24,+12,-3%
9,East Java,-30,-17,-51,-30,+15,-37
10,East Kalimantan,-37,-19,-51,-28,+14,-31
11,East Nusa Tenggara,-37,-19,-39,-25,+13,-24
12,Gorontalo,-30,-14,-58,-31,+16,-15
13,Jakarta,-55,-28,-70,-50,+26,-47
14,Jambi,-31,-16,-45,-25,+12,-25
15,Lampung,-24,-10,-45,-31,+12,-21
16,Maluku,-39,-24,-40,-31,+13,-17
17,North Kalimantan,-36,-18,-42,-24,+12,-29
18,North Maluku,-31,-9%,-43,-23,+12,-19
19,North Sulawesi,-44,-24,-54,-32,+17,-30
20,North Sumatra,-42,-27,-53,-31,+16,-43
21,Papua,-41,-33,-50,-28,+15,-31
22,Riau,-37,-27,-51,-26,+14,-12
23,Riau Islands,-41,-21,-64,-23,+16,-32
24,South East Sulawesi,-36,-22,-45,-24,+13,-20
25,South Kalimantan,-35,-23,-52,-28,+13,-35
26,South Sulawesi,-43,-22,-55,-35,+16,-26
27,South Sumatra,-31,-16,-47,-29,+13,-16
28,Special Region of Yogyakarta,-52,-41,-71,-41,+20,-61
29,West Java,-38,-25,-60,-39,+21,-31
30,West Kalimantan,-46,-26,-49,-27,+14,-33
31,West Nusa Tenggara,-36,-21,-58,-27,+14,-37
32,West Papua,-35,-20,-68,-28,+14,-43
33,West Sulawesi,-29,-19,-53,-28,+14,-41
34,West Sumatra,-37,-20,-52,-33,+15,-43
