,Name,Retail,Groc,Transit,Workplace,Res,Park
0,IE,-76,-12,-70,-54,+21,-31
1,County Carlow,-74,-11,-73,-49,+9%,-22
2,County Cavan,-66,-10,-50,-46,+21,-46
3,County Clare,-72,-4%,-68,-51,+32,-50
4,County Cork,-76,-17,-68,-53,+21,-23
5,County Donegal,-74,-11,-49,-49,+30,-43
6,County Dublin,-77,-11,-76,-60,+22,-17
7,County Galway,-76,-9%,-54,-55,+22,-57
8,County Kerry,-78,-18,-69,-54,+31,-48
9,County Kildare,-76,-7%,-57,-53,+20,-26
10,County Kilkenny,-75,-5%,-69,-47,+28,-50
11,County Laois,-70,-3%,-67,-48,+22,-70
12,County Leitrim,-92,-28,Not,-49,Not,-59
13,County Limerick,-75,-16,-63,-50,+34,-32
14,County Longford,-70,-23,Not,-46,Not,Not
15,County Louth,-74,-11,-68,-51,+31,-43
16,County Mayo,-81,-22,-67,-50,+31,-32
17,County Meath,-69,+0%,-43,-52,+21,-30
18,County Monaghan,-68,-12,-50,-48,+18,Not
19,County Offaly,-66,-11,-56,-48,+26,-29
20,County Roscommon,-75,-16,Not,-48,+18,Not
21,County Sligo,-83,-22,-58,-54,+9%,-50
22,County Tipperary,-70,-9%,-61,-47,+30,-54
23,County Waterford,-77,-15,-61,-49,+28,-57
24,County Westmeath,-76,-18,-66,-54,+28,-17
25,County Wexford,-73,-19,-50,-51,+31,-30
26,County Wicklow,-78,-10,-63,-56,+35,-60
