,Name,Retail,Groc,Transit,Workplace,Res,Park
0,IT,-79,-34,-76,-63,+32,-75
1,Abruzzo,-78,-33,-79,-63,+31,-76
2,Aosta,-86,-40,-73,-61,+32,-74
3,Apulia,-76,-35,-80,-60,+27,-73
4,Basilicata,-76,-34,-69,-60,+26,-61
5,Calabria,-80,-41,-80,-62,+27,-70
6,Campania,-81,-36,-78,-65,+30,-77
7,Emilia-Romagna,-78,-29,-75,-59,+33,-75
8,Friuli-Venezia Giulia,-79,-25,-69,-57,+32,-72
9,Lazio,-80,-37,-80,-67,+34,-79
10,Liguria,-76,-36,-73,-61,+30,-71
11,Lombardy,-83,-36,-82,-67,+36,-75
12,Marche,-78,-33,-71,-63,+34,-76
13,Molise,-75,-37,-67,-60,+27,-71
14,Piedmont,-79,-33,-75,-64,+34,-71
15,Sardinia,-78,-35,-70,-57,+26,-71
16,Sicily,-79,-38,-79,-62,+27,-74
17,Trentino-South Tyrol,-81,-44,-74,-60,+31,-79
18,Tuscany,-78,-37,-72,-62,+33,-75
19,Umbria,-78,-35,-67,-57,+30,-67
20,Veneto,-78,-25,-76,-58,+32,-72
