,Name,Retail,Groc,Transit,Workplace,Res,Park
0,JP,-31,+4,-46,-23,+14,-1
1,Aichi,-29,+0%,-46,-20,+14,-5%
2,Akita,-13,+1%,-28,-8%,+6%,+59
3,Aomori,-16,+1%,-30,-8%,+6%,+16
4,Chiba,-30,+10,-51,-32,+19,+22
5,Ehime,-22,+0%,-36,-9%,+8%,-10
6,Fukui,-29,+3%,-39,-15,+12,+11
7,Fukuoka,-34,-4%,-54,-25,+16,-16
8,Fukushima,-17,+6%,-35,-8%,+7%,+19
9,Gifu,-28,+2%,-45,-17,+12,-15
10,Gunma,-21,+2%,-44,-15,+11,+6%
11,Hiroshima,-26,+3%,-42,-13,+11,-12
12,Hokkaido,-20,+6%,-34,-10,+6%,+12
13,Hyogo,-31,+6%,-45,-25,+15,+9%
14,Ibaraki,-19,+7%,-47,-16,+12,+4%
15,Ishikawa,-29,+3%,-52,-18,+12,+4%
16,Iwate,-12,+4%,-28,-5%,+5%,+25
17,Kagawa,-24,+0%,-42,-11,+9%,-18
18,Kagoshima,-16,+1%,-32,-6%,+6%,-11
19,Kanagawa,-35,+10,-49,-38,+22,+13
20,Kochi,-28,-4%,-35,-12,+10,-13
21,Kumamoto,-22,-1%,-37,-12,+10,-17
22,Kyoto,-30,+3%,-48,-21,+13,-8%
23,Mie,-24,+0%,-46,-12,+10,-31
24,Miyagi,-24,+6%,-43,-14,+11,+11
25,Miyazaki,-19,+2%,-34,-7%,+7%,-15
26,Nagano,-24,+2%,-44,-12,+10,+3%
27,Nagasaki,-21,+0%,-33,-8%,+8%,-27
28,Nara,-18,+9%,-38,-19,+11,-8%
29,Niigata,-14,+5%,-39,-9%,+7%,+31
30,Oita,-21,+0%,-39,-11,+9%,-22
31,Okayama,-16,+4%,-37,-9%,+8%,-1%
32,Okinawa,-34,-7%,-56,-18,+12,-24
33,Osaka,-41,+2%,-48,-28,+16,+6%
34,Saga,-19,+0%,-40,-10,+9%,-21
35,Saitama,-26,+12,-49,-30,+18,+16
36,Shiga,-22,+2%,-44,-16,+11,+6%
37,Shimane,-20,+6%,-32,-8%,+8%,-11
38,Shizuoka,-21,+3%,-44,-13,+10,-6%
39,Tochigi,-22,+4%,-46,-14,+11,+4%
40,Tokushima,-19,+2%,-34,-9%,+7%,-8%
41,Tokyo,-53,+7%,-57,-46,+26,-8%
42,Tottori,-16,+8%,-32,-8%,+6%,-5%
43,Toyama,-23,+6%,-40,-12,+10,+11
44,Wakayama,-22,+2%,-38,-12,+8%,-1%
45,Yamagata,-20,+0%,-42,-13,+9%,+46
46,Yamaguchi,-23,+1%,-39,-12,+10,-16
47,Yamanashi,-25,-2%,-47,-14,+11,-19
