,Name,Retail,Groc,Transit,Workplace,Res,Park
0,KE,-45,-32,-41,-35,+25,-30
1,Baringo County,Not,Not,Not,-34,Not,Not
2,Bomet County,-32,-17,Not,-23,Not,Not
3,Bungoma County,-1%,-7%,-19,-26,Not,+13
4,Busia County,-26,-27,Not,-9%,Not,Not
5,Embu County,-37,-14,-52,-26,Not,Not
6,Garissa County,Not,Not,Not,-8%,Not,Not
7,Homa Bay County,-24,-19,+2%,-19,Not,Not
8,Kajiado County,-33,-17,-26,-34,+30,-29
9,Kakamega County,-32,-19,-36,-26,Not,-54
10,Kericho County,-23,-28,Not,-26,Not,Not
11,Kiambu County,-34,-30,-34,-39,+29,-16
12,Kilifi County,-43,-43,-35,-36,+21,-47
13,Kirinyaga County,-7%,-31,Not,-23,Not,+6%
14,Kisii County,-26,-27,-44,-30,Not,Not
15,Kisumu County,-47,-16,-54,-27,+20,-44
16,Kitui County,-21,-26,-48,-30,Not,+2%
17,Kwale County,-55,-21,Not,-26,Not,Not
18,Laikipia County,-30,-20,-54,-24,Not,Not
19,Machakos County,-52,+29,-33,-35,+28,-39
20,Makueni County,-7%,-18,-28,-24,Not,Not
21,Meru County,-20,-27,-20,-31,+2%,Not
22,Migori County,-7%,+4%,-51,-16,Not,Not
23,Mombasa County,-48,-39,-50,-30,+22,-37
24,Muranga County,-9%,-21,-80,-32,Not,Not
25,Nairobi County,-52,-40,-47,-40,+30,-57
26,Nakuru County,-37,-29,-47,-27,+19,-41
27,Nandi County,-24,Not,Not,-25,Not,Not
28,Narok County,-50,-32,-49,-18,Not,+30
29,Nyandarua County,-29,Not,Not,-22,Not,Not
30,Nyeri County,-31,-39,-19,-32,+3%,+18
31,Siaya,-8%,-10,Not,-23,Not,Not
32,Taita-Taveta County,-33,Not,Not,-5%,Not,Not
33,Tharaka-Nithi County,-52,Not,Not,-49,Not,Not
34,Trans-Nzoia County,-3%,-32,-16,-19,Not,Not
35,Turkana County,-25,Not,Not,-8%,Not,Not
36,Uasin Gishu County,-31,-45,-50,-30,+17,-33
37,Vihiga County,-12,Not,-34,-36,Not,Not
38,Wajir County,-10,Not,Not,Not,Not,Not
