,Name,Retail,Groc,Transit,Workplace,Res,Park
0,LV,-29,-9,-45,-41,+16,-8
1,Aizkraukle Municipality,-27,Not,Not,-75,Not,Not
2,Aloja Municipality,-10,Not,Not,Not,Not,Not
3,Alūksne Municipality,Not,Not,Not,-36,Not,Not
4,Babīte Municipality,-26,Not,Not,-44,Not,Not
5,Baldone Municipality,Not,Not,Not,-82,Not,Not
6,Balvi Municipality,Not,Not,Not,-75,Not,Not
7,Bauska Municipality,-44,-14,Not,-36,Not,Not
8,Burtnieki Municipality,-18,Not,Not,-77,Not,Not
9,Carnikava Municipality,Not,Not,Not,-53,Not,Not
10,City of Liepāja,-22,+6%,-29,-38,+14,+11
11,Cēsis Municipality,-49,-14,Not,-31,Not,Not
12,Daugavpils,-18,-13,-49,-31,+8%,-46
13,Daugavpils Municipality,Not,Not,Not,-36,Not,Not
14,Dobele Municipality,-38,Not,Not,-27,Not,Not
15,Engure Municipality,Not,Not,Not,-34,Not,Not
16,Garkalne Municipality,Not,Not,Not,-50,Not,Not
17,Grobiņa Municipality,Not,Not,Not,-75,Not,Not
18,Gulbene Municipality,-48,-8%,Not,-32,Not,Not
19,Iecava Municipality,Not,Not,Not,-43,Not,Not
20,Ikšķile Municipality,-25,-2%,Not,-44,Not,Not
21,Inčukalns Municipality,Not,Not,Not,-39,Not,Not
22,Jelgava,-27,-8%,-56,-38,+0%,Not
23,Jelgava Municipality,Not,Not,Not,-40,Not,Not
24,Jēkabpils,-25,-20,Not,-28,Not,Not
25,Jēkabpils Municipality,-10,Not,Not,Not,Not,Not
26,Jūrmala,-27,-8%,-32,-44,Not,-42
27,Kocēni Municipality,-11,Not,Not,-39,Not,Not
28,Krāslava Municipality,-10,Not,Not,Not,Not,Not
29,Kuldīga Municipality,-15,-9%,Not,-37,Not,Not
30,Lielvārde Municipality,-35,Not,Not,-46,Not,Not
31,Limbaži Municipality,-36,Not,Not,-28,Not,Not
32,Madona Municipality,-45,-18,Not,-34,Not,Not
33,Mārupe Municipality,-27,-15,-90,-52,Not,Not
34,Ogre Municipality,-35,-16,Not,-43,Not,Not
35,Olaine Municipality,-7%,Not,Not,-39,Not,Not
36,Ozolnieki Municipality,-10,Not,Not,-42,Not,Not
37,Preiļi Municipality,-31,Not,Not,Not,Not,Not
38,Priekuļi Municipality,Not,Not,Not,-79,Not,Not
39,Riga,-37,-14,-52,-44,+18,-44
40,Ropaži Municipality,Not,Not,Not,-46,Not,Not
41,Rēzekne,-36,-27,Not,-32,Not,Not
42,Rēzekne Municipality,Not,Not,Not,-37,Not,Not
43,Salacgrīva Municipality,-71,Not,Not,Not,Not,Not
44,Salaspils Municipality,+0%,-4%,Not,-43,Not,Not
45,Saldus Municipality,-20,-21,Not,-34,Not,+10
46,Saulkrasti Municipality,Not,Not,Not,-51,Not,Not
47,Sigulda Municipality,-29,-29,Not,-43,Not,-24
48,Smiltene Municipality,-22,Not,Not,-33,Not,Not
49,Stopiņi Municipality,Not,-9%,Not,-46,Not,Not
50,Talsi Municipality,-47,-10,Not,-31,Not,Not
51,Tukums Municipality,-25,-4%,Not,-38,Not,Not
52,Valmiera,-52,-23,Not,-28,Not,Not
53,Ventspils,-35,-4%,Not,-38,Not,Not
54,Ventspils Municipality,Not,Not,Not,-46,Not,Not
55,Ādaži Municipality,-21,-30,Not,-44,Not,Not
56,Ķegums Municipality,-16,Not,Not,Not,Not,Not
57,Ķekava Municipality,-10,Not,Not,-46,Not,Not
