,Name,Retail,Groc,Transit,Workplace,Res,Park
0,MU,-83,-63,-86,-79,+37,-77
1,Flacq District,-78,-67,Not,-80,+8%,-80
2,Grand Port District,-76,-90,-94,-80,+8%,-73
3,Moka District,-88,-33,-84,-80,+8%,Not
4,Pamplemousses District,-72,-49,-75,-78,+7%,-88
5,Plaines Wilhems District,-84,-68,-90,-83,+39,-85
6,Port Louis District,-90,-76,-86,-78,+6%,-87
7,Rivière Noire District,-87,-65,-82,-81,+8%,-89
8,Rivière du Rempart District,-84,-73,Not,-79,+8%,-88
9,Rodrigues District,Not,Not,Not,-16,Not,-30
10,Savanne District,-10,-60,Not,-78,Not,-85
