,Name,Retail,Groc,Transit,Workplace,Res,Park
0,MX,-55,-18,-58,-47,+24,-47
1,Aguascalientes,-54,-7%,-66,-47,+24,-32
2,Baja California,-58,-12,-63,-52,+26,-42
3,Baja California Sur,-68,-27,-72,-57,+28,-63
4,Campeche,-57,-26,-58,-49,+25,-55
5,Chiapas,-55,-20,-59,-42,+19,-45
6,Chihuahua,-54,-12,-61,-49,+24,-38
7,Coahuila,-54,-15,-50,-49,+25,-50
8,Colima,-51,-13,-58,-35,+19,-38
9,Durango,-47,-16,-54,-42,+19,-39
10,Guanajuato,-50,-11,-47,-44,+22,-45
11,Guerrero,-59,-27,-63,-45,+20,-52
12,Hidalgo,-43,-17,-57,-42,+21,-35
13,Jalisco,-50,-13,-58,-43,+21,-40
14,Mexico City,-65,-26,-62,-57,+29,-57
15,Michoacán,-47,-16,-48,-35,+16,-32
16,Morelos,-51,-20,-52,-42,+21,-45
17,Nayarit,-60,-25,-56,-45,+22,-57
18,Nuevo Leon,-53,-14,-58,-48,+25,-49
19,Oaxaca,-54,-27,-54,-42,+20,-52
20,Puebla,-53,-16,-44,-48,+22,-41
21,Querétaro,-55,-12,-37,-49,+26,-46
22,Quintana Roo,-73,-37,-85,-62,+34,-71
23,San Luis Potosi,-51,-14,-57,-46,+23,-50
24,Sinaloa,-61,-25,-64,-50,+26,-50
25,Sonora,-62,-26,-62,-53,+27,-49
26,State of Mexico,-46,-9%,-53,-46,+22,-31
27,Tabasco,-57,-28,-53,-48,+22,-45
28,Tamaulipas,-50,-13,-54,-44,+22,-48
29,Tlaxcala,-45,-14,-43,-44,+21,-34
30,Veracruz,-48,-14,-52,-39,+18,-42
31,Yucatan,-65,-31,-73,-54,+30,-60
32,Zacatecas,-55,-25,-56,-45,+21,-51
