,Name,Retail,Groc,Transit,Workplace,Res,Park
0,NG,-55,-42,-54,-49,+31,-46
1,Abia,-49,-47,-53,-42,+19,+0%
2,Adamawa,-32,-11,Not,-11,+3%,Not
3,Akwa Ibom,-57,-31,-74,-43,+23,-50
4,Anambra,-49,-54,-59,-47,+22,-44
5,Bauchi,+3%,-4%,Not,+3%,Not,+3%
6,Bayelsa,-23,-6%,Not,-15,Not,+1%
7,Benue,-25,-5%,Not,-23,+4%,-54
8,Borno,+2%,+9%,-21,-14,+4%,-32
9,Cross River,-23,-18,-39,-21,+15,-2%
10,Delta,-61,-54,-60,-42,+29,-29
11,Ebonyi,-26,-20,Not,-19,Not,Not
12,Edo,-49,-27,-36,-28,+17,-28
13,Ekiti,-50,-52,-53,-33,+7%,Not
14,Enugu,-50,-38,-42,-37,+19,-41
15,Federal Capital Territory,-71,-60,-85,-62,+43,-68
16,Gombe,-14,-12,Not,-9%,Not,Not
17,Imo,-50,-35,-57,-28,+16,-36
18,Jigawa,-35,Not,Not,-9%,Not,Not
19,Kaduna,-62,-47,-46,-43,+27,-35
20,Kano,-60,-62,-53,-62,+32,-45
21,Katsina,-2%,-6%,Not,+0%,Not,-19
22,Kebbi,-12,Not,Not,-9%,Not,Not
23,Kogi,-37,-6%,Not,-17,-4%,Not
24,Kwara,-50,-40,-61,-48,+18,-33
25,Lagos,-71,-56,-59,-66,+44,-70
26,Nasarawa,-36,-23,Not,-46,+17,Not
27,Niger,-22,-31,Not,-38,+19,-36
28,Ogun State,-28,+7%,-30,-49,+25,-10
29,Ondo,-40,-41,-35,-28,+17,-36
30,Osun,-58,-45,-63,-49,+22,-19
31,Oyo,-42,-34,-33,-35,+19,-33
32,Plateau,-59,-45,-23,-24,+6%,-35
33,Rivers,-26,-16,-38,-26,+20,-11
34,Sokoto,+10,-25,Not,-5%,Not,Not
35,Taraba,-20,Not,Not,-16,Not,Not
36,Yobe,-9%,+17,Not,+2%,Not,Not
37,Zamfara,+51,-57,Not,+3%,Not,-17
