,Name,Retail,Groc,Transit,Workplace,Res,Park
0,NL,-41,-10,-59,-45,+17,+38
1,Drenthe,-33,-9%,-53,-39,+14,+15
2,Flevoland,-34,-9%,-58,-45,+17,+76
3,Friesland,-41,-13,-48,-39,+13,+75
4,Gelderland,-38,-8%,-54,-42,+16,+54
5,Groningen,-45,-14,-59,-46,+16,+63
6,Limburg,-46,-5%,-50,-42,+16,+20
7,North Brabant,-42,-9%,-62,-42,+17,+41
8,North Holland,-49,-12,-70,-50,+19,+18
9,Overijssel,-41,-9%,-60,-42,+16,+69
10,South Holland,-40,-8%,-59,-46,+18,+38
11,Utrecht,-43,-13,-68,-51,+20,+41
12,Zeeland,-41,-10,-45,-38,+15,-11
