,Name,Retail,Groc,Transit,Workplace,Res,Park
0,PE,-82,-59,-83,-73,+41,-73
1,Amazonas,-84,-81,-79,-44,Not,-62
2,Ancash,-79,-59,-87,-64,+34,-63
3,Apurimac,-70,-71,-66,-56,+9%,-65
4,Arequipa,-80,-66,-74,-72,+41,-68
5,Ayacucho,-73,-53,-87,-59,+37,-67
6,Cajamarca,-75,-53,-86,-60,+35,-67
7,Callao Region,-76,-54,-90,-76,+42,-71
8,Cusco,-84,-61,-85,-66,+41,-71
9,Huancavelica,-78,Not,-76,-48,Not,-53
10,Huanuco,-76,-66,-85,-60,+33,-66
11,Ica,-74,-49,-88,-61,+35,-71
12,Junin,-75,-65,-83,-62,+37,-62
13,La Libertad,-81,-55,-82,-68,+36,-68
14,Lambayeque,-83,-65,-88,-70,+37,-70
15,Lima Region,-73,-55,-83,-56,+33,-67
16,Loreto,-78,-59,-69,-58,+34,-67
17,Madre de Dios,-73,-62,-73,-53,+0%,-66
18,Metropolitan Municipality of Lima,-85,-59,-83,-79,+45,-81
19,Moquegua,-71,-75,-88,-61,+36,-71
20,Pasco,-73,-53,-79,-47,Not,-55
21,Piura,-76,-59,-84,-64,+34,-66
22,Puno,-74,-61,-77,-59,+36,-59
23,San Martin,-78,-59,-83,-60,+33,-58
24,Tacna,-80,-62,-82,-68,+39,-72
25,Tumbes,-68,-90,-89,-59,+10,-67
26,Ucayali,-71,-36,-86,-57,+34,-61
