,Name,Retail,Groc,Transit,Workplace,Res,Park
0,PL,-53,-28,-61,-42,+20,-44
1,Greater Poland Voivodeship,-51,-27,-61,-42,+20,-27
2,Kuyavian-Pomeranian Voivodeship,-50,-27,-61,-38,+18,-23
3,Lesser Poland Voivodeship,-61,-35,-68,-48,+23,-71
4,Lower Silesian Voivodeship,-54,-30,-65,-46,+21,-40
5,Lublin Voivodeship,-56,-31,-61,-29,+18,-41
6,Lubusz Voivodeship,-46,-29,-56,-39,+19,-18
7,Masovian Voivodeship,-56,-29,-68,-54,+25,-49
8,Opole Voivodeship,-51,-25,-60,-39,+18,-29
9,Podkarpackie Voivodeship,-55,-29,-63,-31,+19,-35
10,Podlaskie Voivodeship,-57,-27,-53,-28,+18,-24
11,Pomeranian Voivodeship,-52,-29,-60,-33,+19,-39
12,Silesian Voivodeship,-52,-26,-52,-31,+18,-35
13,Swietokrzyskie,-54,-26,-56,-41,+19,-37
14,Warmian-Masurian Voivodeship,-50,-28,-54,-24,+15,-21
15,West Pomeranian Voivodeship,-51,-30,-53,-39,+18,-44
16,Łódź Voivodeship,-47,-23,-50,-30,+18,-38
