,Name,Retail,Groc,Transit,Workplace,Res,Park
0,PT,-69,-30,-73,-62,+35,-58
1,Aveiro District,-66,-24,-76,-56,+36,-52
2,Azores,-70,-33,-82,-60,+29,-51
3,Beja District,-70,-34,Not,-50,+23,-41
4,Braga,-67,-24,-68,-58,+37,-65
5,Bragança District,-73,-44,-70,-60,+18,-53
6,Castelo Branco District,-66,-27,-74,-56,+30,-56
7,Coimbra District,-68,-31,-70,-59,+35,-78
8,Faro District,-68,-35,-76,-58,+26,-59
9,Guarda District,-71,-33,-81,-58,+29,-55
10,Leiria District,-67,-31,-74,-54,+33,-55
11,Lisbon,-72,-32,-76,-68,+38,-59
12,Madeira,-76,-43,-68,-68,+37,-72
13,Portalegre District,-70,-32,Not,-52,+23,-52
14,Porto District,-71,-28,-73,-61,+38,-56
15,Santarém District,-67,-30,-75,-55,+31,-50
16,Setubal,-62,-25,-71,-65,+35,-43
17,Viana do Castelo District,-67,-29,-57,-58,+36,-56
18,Vila Real District,-71,-36,-63,-58,+32,-58
19,Viseu District,-68,-31,-53,-59,+34,-51
20,Évora District,-65,-28,-77,-55,+28,-69
