,Name,Retail,Groc,Transit,Workplace,Res,Park
0,RO,-64,-21,-67,-68,+24,-46
1,Alba County,-62,-21,-51,-69,+24,-27
2,Arad County,-66,-22,-64,-71,+27,-34
3,Argeș County,-63,-21,-65,-69,+24,-23
4,Bacău County,-63,-27,-61,-58,+20,-25
5,Bihor County,-63,-24,-55,-68,+25,-28
6,Bistrița-Năsăud County,-64,-29,-53,-66,+21,-29
7,Botoșani County,-61,-28,-60,-51,+19,+7%
8,Brașov County,-71,-34,-69,-73,+27,-70
9,Brăila County,-54,-13,-58,-59,+21,-46
10,Bucharest,-73,-23,-73,-80,+33,-79
11,Buzău County,-52,-22,-35,-56,+20,-25
12,Caraș-Severin County,-64,-23,-43,-60,+21,-30
13,Cluj County,-73,-31,-72,-76,+29,-41
14,Constanța County,-61,-13,-61,-58,+21,-54
15,Covasna County,-64,-34,-48,-49,+18,-43
16,Călărași County,-33,-5%,-48,-55,+20,-16
17,Dolj County,-66,-18,-62,-63,+21,-45
18,Dâmbovița County,-60,-13,-46,-62,+22,-34
19,Galați,-59,-13,-57,-60,+21,-50
20,Giurgiu County,-40,+3%,-33,-59,+22,-5%
21,Gorj County,-53,-16,-59,-55,+20,-31
22,Harghita County,-62,-40,-43,-42,+16,-41
23,Hunedoara County,-65,-17,-58,-64,+20,-43
24,Ialomița County,-37,-7%,-56,-51,+19,-17
25,Iași County,-67,-24,-62,-69,+25,-38
26,Ilfov County,-60,-6%,-76,-75,+31,-29
27,Maramureș County,-60,-28,-60,-65,+22,-29
28,Mehedinți County,-57,-21,-63,-54,+18,-35
29,Mureș County,-65,-29,-56,-60,+21,-48
30,Neamț County,-62,-30,-57,-57,+20,-37
31,Olt County,-56,-10,-52,-54,+17,-31
32,Prahova,-66,-22,-68,-68,+25,-61
33,Satu Mare County,-62,-22,-56,-61,+22,-23
34,Sibiu,-69,-26,-68,-78,+28,-59
35,Suceava County,-69,-39,-68,-60,+24,-35
36,Sălaj,-60,-25,-49,-61,+20,-48
37,Teleorman County,-43,-7%,-47,-49,+17,+16
38,Timiș County,-66,-25,-73,-76,+29,-56
39,Tulcea County,-54,-21,-57,-55,+19,-37
40,Vaslui County,-59,-24,-54,-48,+18,-1%
41,Vrancea County,-61,-24,-52,-56,+18,-2%
42,Vâlcea County,-62,-18,-56,-59,+19,-32
