,Name,Retail,Groc,Transit,Workplace,Res,Park
0,SA,-77,-45,-86,-48,+24,-79
1,Al Bahah Province,-51,-24,Not,-32,+16,-55
2,Al Jowf,-48,-21,-65,-21,+19,-54
3,Al Madinah Province,-81,-56,-91,-56,+29,-82
4,Al Qassim,-61,-34,-72,-30,+19,-73
5,Aseer Province,-54,-23,-76,-28,+18,-56
6,Eastern Province,-77,-44,-87,-47,+24,-75
7,Hail Province,-54,-31,-62,-24,+16,-68
8,Jazan,-64,-38,-61,-23,+16,-74
9,Makkah Province,-82,-51,-87,-54,+26,-87
10,Najran,-47,-21,Not,-27,+17,-63
11,Northern Borders Province,-47,-14,Not,-25,+16,Not
12,Riyadh Province,-81,-45,-90,-53,+26,-84
13,Tabuk Province,-72,-44,-56,-43,+22,-69
