,Name,Retail,Groc,Transit,Workplace,Res,Park
0,SE,-18,-3,-36,-32,+11,+56
1,Blekinge County,-5%,+0%,-22,-27,+8%,+26
2,Dalarna County,-28,-11,-33,-34,+10,-7%
3,Gavleborg County,-16,-6%,-33,-35,+10,+31
4,Gotland County,-3%,-1%,-34,-12,+6%,Not
5,Halland County,-8%,-2%,-24,-22,+9%,+54
6,Jamtland County,-32,-18,-44,-38,+12,+7%
7,Jonkoping County,-11,-2%,-23,-22,+7%,+47
8,Kalmar County,-4%,-1%,-25,-36,+9%,+10
9,Kronoberg County,-17,-3%,-30,-22,+8%,Not
10,Norrbotten County,-23,-12,-44,-36,+9%,+81
11,Skåne County,-14,-1%,-38,-25,+9%,+11
12,Stockholm County,-27,-5%,-44,-42,+16,+18
13,Södermanland County,-10,-2%,-39,-27,+10,+49
14,Uppsala County,-18,+1%,-41,-28,+13,+51
15,Varmland County,-15,-4%,-28,-33,+10,+31
16,Västerbotten County,-24,-8%,-41,-40,+12,+41
17,Västernorrland County,-18,-5%,-30,-36,+11,-14
18,Västmanland County,-13,-1%,-34,-26,+9%,+30
19,Västra Götaland County,-16,-2%,-32,-30,+11,+97
20,Örebro County,-10,-3%,-30,-24,+9%,+22
21,Östergötland County,-11,-4%,-35,-25,+9%,+97
