,Name,Retail,Groc,Transit,Workplace,Res,Park
0,SI,-68,-29,-55,-50,+23,-12
1,Administrative unit Maribor,-69,-34,-69,-50,+20,-16
2,Ajdovščina,-88,-45,-56,-49,Not,Not
3,Brežice,-89,-53,Not,-49,Not,Not
4,Celje,-69,-36,-35,-48,+11,-61
5,Cerknica,-87,Not,Not,-47,Not,Not
6,Domžale,-70,-11,-58,-52,+22,Not
7,Dravograd,-70,Not,Not,-43,Not,Not
8,Gornja Radgona,-85,-42,Not,-44,Not,Not
9,Grosuplje,-92,-48,Not,-55,+2%,Not
10,Idrija,-66,-45,Not,-54,Not,Not
11,Ilirska Bistrica,-80,Not,Not,-51,Not,Not
12,Izola,-75,-42,Not,-55,Not,Not
13,Jesenice,-74,-55,-47,-46,Not,-61
14,Kamnik,-92,-50,Not,-52,+2%,Not
15,Koper,-69,-29,-50,-53,+13,-48
16,Kočevje,-73,-49,Not,-42,Not,Not
17,Kranj,-69,-27,-65,-51,+24,Not
18,Krško,-84,-51,Not,-48,Not,Not
19,Laško,-80,-51,Not,-44,Not,Not
20,Lenart,-75,-45,Not,-52,Not,Not
21,Lendava,-89,-58,Not,-44,Not,Not
22,Litija,-75,-44,Not,-46,Not,Not
23,Ljubljana,-71,-32,-68,-58,+26,-31
24,Ljutomer,-86,-48,Not,-49,Not,Not
25,Logatec,-76,-44,-68,-49,Not,Not
26,Metlika,Not,Not,Not,-55,Not,Not
27,Mozirje,-87,-45,Not,-40,Not,Not
28,Municipality of Hrastnik,Not,Not,Not,-38,Not,Not
29,Murska Sobota,-70,-47,-38,-50,+1%,Not
30,Nova Gorica,-74,-35,-47,-53,Not,Not
31,Novo Mesto,-69,-25,-61,-46,+19,Not
32,Ormož,-61,-46,Not,-45,Not,Not
33,Pesnica,-87,Not,Not,-51,Not,Not
34,Piran,-88,-32,Not,-51,Not,-44
35,Postojna,-80,-51,-46,-47,Not,Not
36,Ptuj,-68,-31,-43,-43,+18,Not
37,Radlje ob Dravi,-81,-61,Not,-48,Not,Not
38,Radovljica,-74,-36,-57,-52,Not,-49
39,Ravne na Koroškem,-77,-42,Not,-40,Not,Not
40,Ribnica,Not,Not,Not,-45,Not,Not
41,Ruše,-76,Not,Not,-42,Not,Not
42,Sevnica,-75,-45,Not,-46,Not,Not
43,Sežana,-95,-54,Not,-54,Not,Not
44,Slovenj Gradec,-87,-59,Not,-49,Not,Not
45,Slovenska Bistrica,-10,-49,Not,-41,Not,Not
46,Slovenske Konjice,-93,-42,Not,-41,Not,Not
47,Tolmin,-68,-51,Not,-49,Not,Not
48,Trbovlje,-83,-48,Not,-46,Not,Not
49,Trebnje,-81,-57,Not,-49,Not,Not
50,Tržič,-84,-35,Not,-50,Not,Not
51,Velenje,-54,-34,-51,-44,+0%,Not
52,Vrhnika,-77,-39,Not,-54,Not,Not
53,Zagorje ob Savi,-85,-40,Not,-48,Not,Not
54,Črnomelj,-83,-50,Not,-38,Not,Not
55,Šentjur,-70,-60,Not,-46,Not,Not
56,Škofja Loka,-90,-49,-72,-50,+1%,Not
57,Šmarje pri Jelšah,-83,-58,Not,-47,Not,+27
58,Žalec,-10,-25,Not,-47,+0%,Not
