,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-39,+3,-35,-29,+10,+11
1,Autauga County,-37,+16,Not,-30,+20,-14
2,Baldwin County,-44,-10,-39,-28,+11,-42
3,Barbour County,-18,-20,Not,-31,Not,Not
4,Bibb County,-42,-15,Not,-19,Not,Not
5,Blount County,-20,+18,Not,-24,+20,Not
6,Bullock County,-22,-27,Not,-33,Not,Not
7,Butler County,-47,-9%,-57,-33,Not,Not
8,Calhoun County,-40,+1%,Not,-29,+9%,-22
9,Chambers County,-35,-3%,-40,-32,+15,Not
10,Cherokee County,-41,-5%,Not,-18,Not,Not
11,Chilton County,-28,+11,-30,-25,+17,Not
12,Choctaw County,-13,-19,Not,-43,Not,Not
13,Clarke County,-22,-29,Not,-9%,Not,Not
14,Clay County,-43,-20,Not,-41,Not,Not
15,Cleburne County,-35,-13,-42,-14,Not,Not
16,Coffee County,-25,-2%,Not,-27,+18,Not
17,Colbert County,-27,+11,-23,-21,+16,-37
18,Conecuh County,-65,-10,-41,-36,Not,Not
19,Coosa County,Not,Not,Not,-44,Not,Not
20,Covington County,-30,+6%,Not,-20,+8%,Not
21,Crenshaw County,-58,-10,Not,-33,Not,Not
22,Cullman County,-39,+13,-33,-28,+9%,+38
23,Dale County,-32,+0%,-39,-23,+16,Not
24,Dallas County,-30,+7%,Not,-22,+5%,Not
25,DeKalb County,-43,+2%,-33,-16,+17,-4%
26,Elmore County,-35,+6%,Not,-33,+21,+49
27,Escambia County,-32,-7%,Not,-28,+7%,Not
28,Etowah County,-42,+1%,-37,-30,+8%,-23
29,Fayette County,-39,Not,Not,-32,Not,Not
30,Franklin County,-19,-15,Not,-21,+5%,Not
31,Geneva County,-42,+14,Not,-27,-2%,Not
32,Greene County,+11,-29,-47,-44,Not,Not
33,Hale County,-41,-36,Not,-29,Not,Not
34,Henry County,-49,-19,Not,-21,Not,Not
35,Houston County,-45,-5%,-35,-29,+10,+14
36,Jackson County,-40,+14,Not,-21,+18,Not
37,Jefferson County,-45,+3%,-35,-32,+11,+20
38,Lamar County,-32,+0%,Not,-39,Not,Not
39,Lauderdale County,-44,+6%,Not,-29,+8%,-15
40,Lawrence County,-41,-16,Not,-22,+7%,Not
41,Lee County,-49,-9%,Not,-32,+12,-14
42,Limestone County,-30,+5%,Not,-24,+10,-1%
43,Lowndes County,Not,Not,-42,-54,Not,Not
44,Macon County,-46,-5%,-54,-39,Not,Not
45,Madison County,-46,-5%,-37,-36,+11,+55
46,Marengo County,-26,+5%,Not,-9%,Not,Not
47,Marion County,-43,-13,Not,-32,Not,Not
48,Marshall County,-34,+7%,Not,-28,+8%,+94
49,Mobile County,-35,+6%,-36,-28,+12,-33
50,Monroe County,-52,+36,Not,-24,Not,Not
51,Montgomery County,-43,-2%,+4%,-29,+11,+0%
52,Morgan County,-37,+11,-34,-31,+9%,+49
53,Perry County,-58,-16,Not,-44,Not,Not
54,Pickens County,-36,+9%,Not,-36,Not,Not
55,Pike County,-31,-20,Not,-34,+0%,Not
56,Randolph County,-45,-7%,Not,-26,Not,Not
57,Russell County,-30,+48,Not,-27,+18,Not
58,Shelby County,-41,-4%,Not,-32,+12,+56
59,St. Clair County,-30,+8%,-34,-26,+9%,Not
60,Sumter County,-61,-11,Not,-45,Not,Not
61,Talladega County,-25,+11,-30,-26,+9%,+16
62,Tallapoosa County,-33,+6%,Not,-31,+18,Not
63,Tuscaloosa County,-42,+5%,-34,-35,+12,-10
64,Walker County,-31,+7%,-39,-15,+14,Not
65,Washington County,Not,-16,Not,-36,Not,Not
66,Wilcox County,-61,Not,Not,-44,Not,Not
67,Winston County,-42,-12,Not,-23,Not,Not
