,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-41,-4,-52,-32,+10,+36
1,Anchorage,-45,-4%,-54,-40,+13,+29
2,Bethel,Not,-23,Not,-25,Not,Not
3,Fairbanks North Star,-39,-10,-72,-33,+21,Not
4,Juneau,-52,-24,-56,-34,-1%,-34
5,Kenai Peninsula Borough,-34,-8%,Not,-24,+14,Not
6,Ketchikan Gateway,-32,-38,Not,-37,Not,Not
7,Kodiak Island,-50,Not,Not,-27,Not,Not
8,Matanuska-Susitna,-29,-2%,Not,-30,+9%,Not
9,North Slope,Not,Not,Not,-12,Not,Not
10,Sitka,-59,Not,Not,-29,Not,Not
11,Southeast Fairbanks,Not,Not,Not,-35,Not,Not
12,Valdez-Cordova,Not,-12,Not,-30,Not,Not
