,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-43,-14,-45,-36,+14,-42
1,Apache County,-80,-54,-35,-34,+16,-59
2,Cochise County,-41,-18,-35,-34,+11,-44
3,Coconino County,-65,-32,-42,-42,+18,-46
4,Gila County,-26,+16,Not,-27,+12,+41
5,Graham County,-29,+12,Not,-19,+11,Not
6,Greenlee County,-65,-13,Not,-37,Not,Not
7,La Paz County,-62,-39,-51,-21,Not,-67
8,Maricopa County,-42,-13,-46,-37,+14,-41
9,Mohave County,-37,-5%,-26,-36,+10,-27
10,Navajo County,-39,-23,-24,-30,+14,+5%
11,Pima County,-47,-14,-48,-39,+14,-52
12,Pinal County,-33,-16,-45,-31,+12,-45
13,Santa Cruz County,-58,-43,-27,-36,+22,-62
14,Yavapai County,-43,-6%,-38,-37,+11,-32
15,Yuma County,-51,-23,-60,-34,+16,-53
