,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-35,+1,-34,-26,+10,+1
1,Arkansas County,-23,+8%,Not,-24,Not,Not
2,Ashley County,-32,+6%,Not,-13,Not,Not
3,Baxter County,-34,+18,Not,-22,+13,Not
4,Benton County,-42,-7%,-62,-32,+12,+21
5,Boone County,-30,+5%,Not,-35,+16,Not
6,Bradley County,-40,-7%,Not,-42,Not,Not
7,Carroll County,-42,-3%,Not,-43,-1%,Not
8,Chicot County,-22,+4%,Not,-35,Not,Not
9,Clark County,-26,-4%,-37,-13,Not,Not
10,Clay County,-10,-2%,Not,-36,Not,Not
11,Cleburne County,-48,+43,Not,-27,Not,Not
12,Cleveland County,Not,Not,Not,-40,Not,Not
13,Columbia County,-20,-11,Not,-21,Not,Not
14,Conway County,-25,+2%,-18,-21,Not,Not
15,Craighead County,-44,-6%,-14,-26,+9%,-59
16,Crawford County,-16,+6%,-4%,-20,+15,Not
17,Crittenden County,-29,+10,-27,-25,+19,Not
18,Cross County,-55,+93,Not,-7%,Not,Not
19,Dallas County,-25,Not,Not,-25,Not,Not
20,Desha County,-22,+11,Not,-41,Not,Not
21,Drew County,-27,+5%,Not,-27,Not,Not
22,Faulkner County,-44,-11,Not,-28,+11,-2%
23,Franklin County,-10,-3%,-22,-20,Not,Not
24,Fulton County,Not,Not,Not,-31,Not,Not
25,Garland County,-41,+0%,Not,-34,+11,-43
26,Grant County,-6%,+6%,Not,-16,Not,Not
27,Greene County,-21,+5%,Not,-23,+15,Not
28,Hempstead County,-33,-3%,Not,-25,Not,Not
29,Hot Spring County,-16,+21,-37,-19,+8%,Not
30,Howard County,-36,+4%,Not,-24,Not,Not
31,Independence County,-43,+50,Not,-16,+13,Not
32,Izard County,-22,+8%,Not,-36,Not,Not
33,Jackson County,-12,+24,Not,-32,Not,Not
34,Jefferson County,-26,+21,-20,-25,+15,Not
35,Johnson County,-34,+4%,Not,-20,-2%,-12
36,Lawrence County,-22,-1%,Not,-43,Not,Not
37,Lincoln County,-60,-4%,Not,-39,Not,Not
38,Little River County,-25,-4%,Not,-42,Not,Not
39,Logan County,-24,+9%,Not,-15,Not,Not
40,Lonoke County,-24,+12,Not,-22,+17,Not
41,Madison County,-31,-13,Not,-20,Not,Not
42,Marion County,-16,+3%,Not,-31,Not,Not
43,Miller County,-35,-2%,-47,-26,+14,-33
44,Mississippi County,-13,+18,-26,-15,+10,Not
45,Monroe County,-40,-8%,Not,-39,Not,Not
46,Montgomery County,Not,Not,Not,-35,Not,Not
47,Nevada County,-61,Not,-40,-33,Not,Not
48,Newton County,Not,Not,Not,-29,Not,Not
49,Ouachita County,-16,-20,Not,-19,Not,Not
50,Perry County,Not,Not,Not,-41,Not,Not
51,Phillips County,-5%,+16,Not,-17,Not,Not
52,Pike County,-30,-8%,Not,-31,Not,Not
53,Poinsett County,-2%,+7%,Not,-5%,Not,Not
54,Polk County,-51,+31,Not,-28,Not,Not
55,Pope County,-41,-6%,-31,-20,+15,Not
56,Prairie County,Not,Not,Not,-39,Not,Not
57,Pulaski County,-41,-5%,-46,-30,+11,-18
58,Randolph County,-33,+12,Not,-18,Not,Not
59,Saline County,-30,-3%,-20,-26,+11,-44
60,Scott County,-53,Not,Not,-33,Not,Not
61,Searcy County,Not,Not,Not,-43,Not,Not
62,Sebastian County,-39,-3%,-58,-30,+10,+0%
63,Sevier County,-35,-8%,Not,-28,Not,Not
64,Sharp County,-27,+0%,Not,-25,Not,Not
65,St. Francis County,-26,+28,-27,-18,Not,Not
66,Stone County,-23,+8%,Not,-25,Not,Not
67,Union County,-32,-9%,Not,-21,+10,Not
68,Van Buren County,-33,Not,Not,-38,Not,Not
69,Washington County,-43,-9%,-30,-33,+12,+13
70,White County,-30,+1%,-19,-20,+13,-9%
71,Yell County,-27,+10,Not,-15,Not,+18
