,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-48,-14,-53,-40,+18,-46
1,Alameda County,-59,-23,-65,-45,+19,-30
2,Amador County,-35,-26,Not,-39,+0%,-64
3,Butte County,-35,-1%,-34,-31,+10,-22
4,Calaveras County,-41,-18,Not,-34,+10,-54
5,Colusa County,-46,-6%,-38,-30,Not,Not
6,Contra Costa County,-47,-7%,-51,-43,+17,-17
7,Del Norte County,-31,-11,Not,-23,Not,+20
8,El Dorado County,-57,-27,-42,-48,+14,-45
9,Fresno County,-39,-3%,-39,-31,+13,-46
10,Glenn County,-47,+25,-16,-26,+2%,-36
11,Humboldt County,-45,-14,-55,-35,+12,-18
12,Imperial County,-60,-30,-67,-37,+22,-77
13,Inyo County,-81,-37,Not,-43,Not,-52
14,Kern County,-39,-2%,-37,-29,+13,-24
15,Kings County,-34,+3%,-49,-27,+11,-39
16,Lake County,-33,+5%,-42,-36,+17,-40
17,Lassen County,-37,-3%,Not,-19,Not,Not
18,Los Angeles County,-51,-19,-52,-43,+20,-54
19,Madera County,-30,-10,-26,-32,+13,-29
20,Marin County,-59,-29,-55,-46,+19,-63
21,Mariposa County,-86,-54,Not,-51,Not,-83
22,Mendocino County,-39,-12,-39,-31,+17,-51
23,Merced County,-38,-8%,-34,-29,+13,-25
24,Modoc County,-59,+4%,Not,-28,Not,Not
25,Mono County,-96,-67,Not,-70,Not,-46
26,Monterey County,-45,-10,-32,-33,+13,-56
27,Napa County,-51,-28,-34,-50,+16,-14
28,Nevada County,-53,-24,-71,-41,+13,-48
29,Orange County,-51,-13,-47,-43,+19,-42
30,Placer County,-50,-13,-51,-41,+14,-15
31,Plumas County,-64,-18,Not,-18,Not,Not
32,Riverside County,-42,-12,-45,-39,+17,-59
33,Sacramento County,-44,-3%,-54,-37,+14,-23
34,San Benito County,-44,-9%,Not,-38,+25,-54
35,San Bernardino County,-43,-11,-45,-35,+16,-44
36,San Diego County,-49,-17,-63,-42,+19,-68
37,San Francisco County,-77,-33,-70,-54,+22,-59
38,San Joaquin County,-37,-1%,-25,-31,+14,-14
39,San Luis Obispo County,-53,-19,-56,-39,+14,-37
40,San Mateo County,-60,-20,-83,-47,+21,-38
41,Santa Barbara County,-49,-12,-49,-36,+14,-33
42,Santa Clara County,-61,-26,-63,-48,+20,-17
43,Santa Cruz County,-56,-16,-56,-40,+17,-63
44,Shasta County,-36,+3%,-24,-29,+9%,+33
45,Siskiyou County,-24,+2%,-7%,-23,+10,+37
46,Solano County,-43,-4%,-39,-35,+15,-18
47,Sonoma County,-50,-14,-49,-41,+16,-59
48,Stanislaus County,-42,-4%,-27,-32,+13,-15
49,Sutter County,-37,-4%,-20,-37,+12,-19
50,Tehama County,-27,+11,-28,-24,+14,-5%
51,Trinity County,-39,+0%,Not,-35,Not,Not
52,Tulare County,-36,-2%,-32,-29,+12,-47
53,Tuolumne County,-41,+1%,Not,-34,+14,-72
54,Ventura County,-44,-18,-37,-36,+16,-38
55,Yolo County,-41,-9%,-30,-38,+15,-9%
56,Yuba County,-25,+9%,-26,-30,+11,+37
