,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-49,-20,-65,-40,+15,-54
1,Alachua County,-51,-19,-49,-32,+14,-39
2,Baker County,-27,-6%,-60,-20,-3%,Not
3,Bay County,-43,-13,-54,-29,+11,-18
4,Bradford County,-27,+21,Not,-26,+0%,Not
5,Brevard County,-44,-17,-46,-38,+13,-32
6,Broward County,-52,-23,-75,-43,+20,-69
7,Calhoun County,-49,-14,Not,-41,Not,Not
8,Charlotte County,-50,-21,-43,-39,+13,-49
9,Citrus County,-41,+3%,Not,-33,+11,-43
10,Clay County,-33,-1%,Not,-33,+12,-22
11,Collier County,-55,-25,-55,-44,+17,-70
12,Columbia County,-44,+12,-46,-23,+10,-42
13,DeSoto County,-42,-5%,Not,-16,+11,-37
14,Dixie County,-34,-6%,Not,-23,Not,Not
15,Duval County,-40,-8%,-41,-35,+13,-45
16,Escambia County,-41,-5%,-44,-31,+11,-11
17,Flagler County,-43,+1%,Not,-39,+13,-55
18,Franklin County,-83,-23,Not,-31,Not,-45
19,Gadsden County,-27,+5%,-44,-22,+20,Not
20,Gilchrist County,-40,-12,Not,-28,Not,-44
21,Glades County,-62,Not,-29,-23,Not,-65
22,Gulf County,-77,-17,Not,-24,Not,Not
23,Hamilton County,-33,-3%,-48,-39,Not,Not
24,Hardee County,-38,-17,Not,-15,Not,-34
25,Hendry County,-34,-4%,Not,-25,+13,-52
26,Hernando County,-37,-10,-26,-33,+12,-41
27,Highlands County,-45,-15,Not,-27,+11,-57
28,Hillsborough County,-49,-19,-71,-41,+16,-57
29,Holmes County,-43,-19,Not,-20,Not,Not
30,Indian River County,-48,-24,-54,-37,+14,-48
31,Jackson County,-31,-4%,-41,-22,+14,-24
32,Jefferson County,-55,-13,Not,-31,Not,Not
33,Lafayette County,Not,Not,Not,-39,Not,Not
34,Lake County,-39,-16,-53,-37,+14,-35
35,Lee County,-54,-25,-76,-41,+15,-69
36,Leon County,-45,-15,-49,-34,+14,-23
37,Levy County,-33,-4%,Not,-24,+15,-36
38,Liberty County,Not,-14,Not,-43,Not,Not
39,Madison County,-58,-14,-42,-15,Not,Not
40,Manatee County,-48,-18,-57,-38,+14,-44
41,Marion County,-41,-11,-39,-33,+11,-49
42,Martin County,-52,-17,-66,-37,+15,-44
43,Miami-Dade County,-58,-33,-71,-48,+22,-81
44,Monroe County,-74,-46,-77,-53,+17,-77
45,Nassau County,-40,-6%,-68,-33,+11,-42
46,Okaloosa County,-41,-9%,-50,-33,+12,-28
47,Okeechobee County,-41,-7%,-85,-26,+17,-29
48,Orange County,-63,-30,-80,-50,+18,-53
49,Osceola County,-58,-29,-61,-51,+19,-47
50,Palm Beach County,-49,-21,-60,-41,+18,-70
51,Pasco County,-40,-15,-32,-34,+13,-47
52,Pinellas County,-49,-18,-42,-39,+15,-35
53,Polk County,-40,-15,-36,-37,+14,-43
54,Putnam County,-29,+4%,Not,-33,+10,-37
55,Santa Rosa County,-23,-2%,Not,-28,+12,+0%
56,Sarasota County,-55,-28,-31,-42,+14,-66
57,Seminole County,-47,-17,-75,-43,+16,-33
58,St. Johns County,-49,-2%,-46,-42,+14,-63
59,St. Lucie County,-40,-9%,-53,-34,+14,-24
60,Sumter County,-54,-16,-46,-36,+11,-41
61,Suwannee County,-34,+0%,-45,-22,+15,-23
62,Taylor County,-38,+2%,Not,-22,Not,Not
63,Union County,-42,-11,Not,-42,Not,Not
64,Volusia County,-44,-13,-42,-38,+12,-32
65,Wakulla County,-22,-17,Not,-24,+17,-10
66,Walton County,-50,-23,-34,-31,+10,-49
67,Washington County,-31,+8%,Not,-28,Not,Not
