,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-40,-5,-53,-36,+13,+3
1,Appling County,-44,-20,Not,-16,Not,Not
2,Atkinson County,-55,+8%,Not,-37,Not,Not
3,Bacon County,-21,-27,Not,-39,Not,Not
4,Baldwin County,-38,-11,Not,-31,+16,Not
5,Banks County,-39,Not,Not,-19,Not,Not
6,Barrow County,-32,+2%,Not,-31,+12,Not
7,Bartow County,-41,+7%,-28,-33,+10,+12
8,Ben Hill County,-41,+1%,Not,-20,Not,Not
9,Berrien County,-42,-13,Not,-27,Not,Not
10,Bibb County,-44,-3%,-31,-30,+11,-6%
11,Bleckley County,-46,+8%,Not,-52,Not,Not
12,Brantley County,-69,-7%,Not,-27,Not,Not
13,Brooks County,-50,-16,Not,-18,Not,Not
14,Bryan County,-44,-2%,-39,-36,+24,-19
15,Bulloch County,-42,-14,Not,-31,+21,-31
16,Burke County,-35,-17,Not,-39,Not,-2%
17,Butts County,-47,-9%,-24,-30,-1%,Not
18,Camden County,-34,+12,-38,-31,+20,-17
19,Candler County,-67,-28,Not,-38,Not,Not
20,Carroll County,-32,+5%,-26,-27,+10,+0%
21,Catoosa County,-42,+3%,Not,-29,+22,-21
22,Charlton County,-49,-9%,Not,-38,Not,Not
23,Chatham County,-51,-19,-45,-43,+13,-28
24,Chattahoochee County,-61,-38,Not,-51,Not,Not
25,Chattooga County,-30,-5%,Not,-35,Not,Not
26,Cherokee County,-36,-7%,Not,-35,+13,+13
27,Clarke County,-51,-14,-25,-39,+13,-25
28,Clayton County,-29,-4%,-82,-36,+14,-10
29,Clinch County,Not,-2%,Not,-32,Not,Not
30,Cobb County,-47,-8%,-29,-41,+15,-34
31,Coffee County,-40,-1%,Not,-27,+18,Not
32,Colquitt County,-34,+1%,Not,-24,+15,Not
33,Columbia County,-37,+3%,-34,-38,+12,+4%
34,Cook County,-36,-2%,-42,-24,Not,Not
35,Coweta County,-44,+1%,-21,-34,+13,Not
36,Crawford County,Not,Not,Not,-24,Not,Not
37,Crisp County,-32,-21,-20,-22,Not,Not
38,Dade County,-52,-23,-32,-30,Not,Not
39,Dawson County,-48,-11,Not,-32,+0%,+6%
40,DeKalb County,-43,-7%,-36,-43,+16,+26
41,Decatur County,-23,-12,Not,-26,-3%,Not
42,Dodge County,-42,-18,Not,-23,Not,Not
43,Dooly County,-59,-28,-40,-40,Not,Not
44,Dougherty County,-47,-16,-46,-34,+14,-33
45,Douglas County,-35,-6%,-14,-37,+14,+8%
46,Early County,-57,-29,Not,-44,Not,Not
47,Effingham County,-23,+9%,Not,-33,+21,Not
48,Elbert County,-23,-21,Not,-24,Not,Not
49,Emanuel County,-36,+5%,Not,-17,Not,Not
50,Evans County,-38,-22,Not,-37,Not,Not
51,Fannin County,-47,-29,Not,-35,Not,+66
52,Fayette County,-36,-6%,Not,-37,+15,+70
53,Floyd County,-34,+7%,Not,-29,+10,+28
54,Forsyth County,-41,-22,Not,-38,+15,+68
55,Franklin County,-52,-13,-38,-30,Not,-17
56,Fulton County,-54,-15,-49,-44,+16,-38
57,Gilmer County,-38,-28,Not,-28,+2%,Not
58,Glynn County,-45,-15,-50,-38,+11,-9%
59,Gordon County,-37,+2%,-32,-38,+21,Not
60,Grady County,-42,-13,Not,-25,-1%,Not
61,Greene County,-41,-27,Not,-30,Not,Not
62,Gwinnett County,-45,-8%,-31,-41,+16,+36
63,Habersham County,-36,+11,Not,-36,+20,Not
64,Hall County,-36,-8%,-17,-34,+12,+85
65,Hancock County,Not,-17,Not,-42,Not,Not
66,Haralson County,-69,+26,-31,-28,+8%,-35
67,Harris County,-35,+0%,Not,-29,+13,+0%
68,Hart County,-32,-11,Not,-29,Not,Not
69,Heard County,Not,-15,Not,-47,Not,Not
70,Henry County,-39,+4%,Not,-38,+15,-6%
71,Houston County,-42,-9%,Not,-34,+12,-8%
72,Irwin County,Not,-14,Not,-48,Not,Not
73,Jackson County,-53,-16,-19,-22,+20,Not
74,Jasper County,-47,-13,Not,-23,Not,Not
75,Jeff Davis County,-41,-18,Not,-23,Not,Not
76,Jefferson County,-42,-13,Not,-21,Not,Not
77,Jenkins County,-42,-17,Not,-43,Not,Not
78,Johnson County,Not,-13,Not,-42,Not,Not
79,Jones County,-37,-14,Not,-35,+8%,Not
80,Lamar County,-49,-14,Not,-39,Not,Not
81,Lanier County,-62,-15,Not,-47,Not,Not
82,Laurens County,-40,-10,-27,-25,+17,Not
83,Lee County,-39,-24,Not,-34,+11,Not
84,Liberty County,-32,-5%,-30,-32,+11,-22
85,Lincoln County,Not,Not,Not,-37,Not,Not
86,Long County,Not,Not,Not,-27,Not,Not
87,Lowndes County,-42,-10,-41,-29,+11,-33
88,Lumpkin County,-38,+16,Not,-33,+6%,Not
89,Macon County,-59,-16,Not,-38,Not,Not
90,Madison County,-56,+4%,Not,-29,+8%,Not
91,Marion County,Not,-9%,Not,-39,Not,Not
92,McDuffie County,-17,-2%,-41,-27,Not,Not
93,McIntosh County,-59,-9%,Not,-32,Not,Not
94,Meriwether County,-45,-7%,Not,-31,Not,Not
95,Miller County,-58,Not,Not,-40,Not,Not
96,Mitchell County,-34,-28,Not,-29,Not,Not
97,Monroe County,-39,-3%,-60,-35,-2%,-2%
98,Montgomery County,Not,-5%,Not,-37,Not,Not
99,Morgan County,-30,-18,-34,-33,Not,Not
100,Murray County,-29,+3%,Not,-39,+19,Not
101,Muscogee County,-44,-1%,-62,-31,+11,+12
102,Newton County,-24,+10,Not,-35,+13,-8%
103,Oconee County,-47,-27,Not,-32,+0%,Not
104,Oglethorpe County,Not,-12,Not,-34,Not,Not
105,Paulding County,-33,-10,Not,-36,+13,-47
106,Peach County,-40,-7%,-38,-33,+7%,Not
107,Pickens County,-23,+8%,Not,-31,+9%,Not
108,Pierce County,-61,-23,Not,-19,Not,Not
109,Pike County,-54,-11,Not,-34,Not,Not
110,Polk County,-16,-3%,Not,-33,+18,Not
111,Pulaski County,-65,-26,Not,-42,Not,Not
112,Putnam County,-33,-9%,-59,-24,Not,Not
113,Rabun County,-52,-20,Not,-31,Not,+11
114,Randolph County,-64,Not,Not,-56,Not,Not
115,Richmond County,-44,-4%,-35,-34,+12,-4%
116,Rockdale County,-35,+13,Not,-36,+14,-4%
117,Schley County,Not,Not,Not,-51,Not,Not
118,Screven County,-67,-21,Not,-44,Not,Not
119,Seminole County,-31,-16,Not,-38,Not,Not
120,Spalding County,-28,+1%,Not,-30,+19,Not
121,Stephens County,-23,-6%,Not,-29,+1%,Not
122,Sumter County,-31,-25,Not,-21,+1%,Not
123,Talbot County,Not,Not,Not,-48,Not,-9%
124,Tattnall County,-41,-11,Not,-14,Not,Not
125,Taylor County,Not,-7%,Not,-36,Not,Not
126,Telfair County,-73,-15,Not,-37,Not,Not
127,Terrell County,-67,-23,Not,-41,Not,Not
128,Thomas County,-38,-3%,Not,-29,+22,Not
129,Tift County,-43,-17,-35,-30,+14,Not
130,Toombs County,-34,-6%,Not,-26,-2%,Not
131,Towns County,-55,-15,Not,-37,Not,Not
132,Treutlen County,Not,-17,Not,-41,Not,Not
133,Troup County,-35,+6%,-41,-40,+24,Not
134,Turner County,-71,+8%,-46,-42,Not,Not
135,Twiggs County,Not,Not,Not,-42,Not,Not
136,Union County,-32,-8%,Not,-33,Not,-10
137,Upson County,-26,-10,Not,-26,-4%,Not
138,Walker County,-17,+20,Not,-29,+20,-33
139,Walton County,-21,+22,Not,-33,+11,Not
140,Ware County,-39,-13,Not,-28,+11,Not
141,Warren County,Not,Not,Not,-53,Not,Not
142,Washington County,-31,-34,Not,-23,Not,Not
143,Wayne County,-31,-15,Not,-21,-2%,Not
144,White County,-44,-17,Not,-36,+9%,-28
145,Whitfield County,-35,+0%,-36,-41,+12,+6%
146,Wilcox County,Not,-6%,Not,-50,Not,Not
147,Wilkes County,-43,-11,Not,-31,Not,Not
148,Wilkinson County,Not,-3%,Not,-46,Not,Not
149,Worth County,-43,-20,Not,-33,Not,Not
