,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-40,+0,-35,-34,+11,+12
1,Ada County,-45,-6%,-54,-40,+13,+24
2,Bannock County,-44,-2%,-44,-32,+11,-40
3,Bear Lake County,-28,-17,Not,-41,Not,Not
4,Benewah County,-16,-6%,Not,-43,Not,Not
5,Bingham County,-31,+2%,Not,-24,+13,Not
6,Blaine County,-84,-50,-57,-64,Not,Not
7,Boise County,-57,Not,Not,-50,Not,-12
8,Bonner County,-32,-32,Not,-33,+12,-22
9,Bonneville County,-41,-2%,-28,-28,+11,+16
10,Boundary County,-29,-4%,Not,-25,Not,Not
11,Canyon County,-36,+4%,-21,-32,+10,+24
12,Caribou County,-53,-6%,Not,-29,Not,Not
13,Cassia County,-7%,+2%,Not,-28,+0%,Not
14,Clearwater County,-54,-14,Not,-21,Not,Not
15,Elmore County,-28,+1%,-32,-24,+14,Not
16,Franklin County,-3%,-10,Not,-20,Not,Not
17,Fremont County,-64,+2%,Not,-22,Not,-38
18,Gem County,-9%,+1%,Not,-24,Not,Not
19,Gooding County,-42,-4%,Not,-11,Not,Not
20,Idaho County,-74,-15,Not,-30,Not,Not
21,Jefferson County,-39,-12,Not,-26,+9%,-62
22,Jerome County,-5%,-44,-13,-19,+6%,Not
23,Kootenai County,-37,+4%,-13,-36,+10,+82
24,Latah County,-49,-22,Not,-42,+19,Not
25,Lemhi County,-23,-27,Not,-28,Not,Not
26,Lincoln County,Not,Not,Not,-39,Not,Not
27,Madison County,-44,-28,Not,-45,+15,Not
28,Minidoka County,-40,+27,-12,-24,+1%,Not
29,Nez Perce County,-36,+17,-55,-27,+15,-24
30,Oneida County,Not,Not,Not,-42,Not,Not
31,Owyhee County,-30,+12,Not,-25,Not,Not
32,Payette County,-42,-5%,Not,-29,+5%,Not
33,Power County,-26,-9%,Not,-32,Not,Not
34,Shoshone County,-28,-4%,Not,-29,Not,Not
35,Teton County,-69,-19,Not,-56,Not,Not
36,Twin Falls County,-45,+2%,Not,-31,+12,-16
37,Valley County,-84,-54,Not,-58,Not,-64
38,Washington County,-17,+2%,Not,-37,Not,Not
