,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-46,-1,-46,-38,+14,+10
1,Adams County,-51,-7%,-2%,-29,+19,Not
2,Alexander County,Not,Not,Not,-43,Not,Not
3,Bond County,-39,+2%,-18,-18,Not,Not
4,Boone County,-22,-6%,-45,-39,+23,Not
5,Bureau County,-36,+14,Not,-29,+3%,Not
6,Carroll County,-52,+14,Not,-23,Not,Not
7,Cass County,-17,+10,Not,-33,Not,Not
8,Champaign County,-46,-10,-32,-37,+12,+63
9,Christian County,-31,-20,Not,-28,+9%,Not
10,Clark County,-35,Not,-30,-33,Not,Not
11,Clay County,-33,Not,Not,-27,Not,Not
12,Clinton County,-30,-2%,Not,-27,+14,Not
13,Coles County,-31,+4%,Not,-31,+21,Not
14,Cook County,-51,-9%,-53,-43,+16,-6%
15,Crawford County,-36,+22,Not,-23,Not,Not
16,Cumberland County,-62,Not,-24,-58,Not,Not
17,De Witt County,-37,-23,Not,-21,Not,Not
18,DeKalb County,-41,+21,Not,-34,+13,Not
19,Douglas County,-55,+14,Not,-30,Not,Not
20,DuPage County,-54,-9%,-33,-43,+17,+30
21,Edgar County,-27,+10,Not,-21,Not,Not
22,Edwards County,Not,Not,Not,-54,Not,Not
23,Effingham County,-46,+2%,-33,-33,+12,Not
24,Fayette County,-31,-10,Not,-19,Not,Not
25,Ford County,-51,-11,Not,-24,Not,Not
26,Franklin County,-25,+1%,-35,-25,+14,Not
27,Fulton County,-33,-12,Not,-28,+14,Not
28,Gallatin County,Not,Not,Not,-42,Not,Not
29,Greene County,-60,+2%,Not,-36,Not,Not
30,Grundy County,-30,+16,-26,-31,+20,Not
31,Hamilton County,-44,Not,Not,-45,Not,Not
32,Hancock County,-37,+17,Not,-15,Not,Not
33,Henderson County,Not,Not,Not,-38,Not,Not
34,Henry County,-36,+2%,-45,-28,+19,Not
35,Iroquois County,-31,+16,-52,-18,+3%,Not
36,Jackson County,-53,-4%,Not,-34,+18,+8%
37,Jasper County,-54,Not,Not,-45,Not,Not
38,Jefferson County,-45,-6%,-32,-36,+15,Not
39,Jersey County,-47,-24,Not,-18,Not,Not
40,Jo Daviess County,-46,-2%,Not,-40,Not,Not
41,Johnson County,-54,Not,Not,-48,Not,-20
42,Kane County,-49,-3%,-27,-40,+15,+74
43,Kankakee County,-39,+12,-29,-33,+11,Not
44,Kendall County,-31,-7%,Not,-39,+16,+6%
45,Knox County,-40,+28,-18,-29,+17,Not
46,LaSalle County,-37,+33,-19,-33,+10,-11
47,Lake County,-47,+0%,-48,-39,+15,+47
48,Lawrence County,-25,Not,Not,-19,Not,Not
49,Lee County,-30,+23,Not,-22,+13,Not
50,Livingston County,-30,+22,Not,-21,+16,Not
51,Logan County,-41,-21,Not,-27,+6%,Not
52,Macon County,-35,+10,-29,-29,+10,Not
53,Macoupin County,-45,+7%,Not,-29,+18,Not
54,Madison County,-40,+9%,-22,-31,+12,+30
55,Marion County,-40,+5%,-38,-28,+15,Not
56,Marshall County,-64,Not,Not,-48,Not,Not
57,Mason County,-15,+35,Not,-19,Not,Not
58,Massac County,-46,-10,Not,-32,Not,Not
59,McDonough County,-45,-9%,Not,-24,+0%,Not
60,McHenry County,-42,+3%,-56,-37,+14,+70
61,McLean County,-48,-1%,-31,-35,+12,+59
62,Menard County,-61,Not,Not,-46,Not,Not
63,Mercer County,-31,Not,Not,-24,Not,Not
64,Monroe County,-40,-31,Not,-32,+16,Not
65,Montgomery County,-38,-6%,Not,-19,+1%,Not
66,Morgan County,-30,+7%,-31,-29,+6%,Not
67,Moultrie County,-56,Not,Not,-28,Not,Not
68,Ogle County,-44,+4%,Not,-26,+20,Not
69,Peoria County,-46,+17,-24,-32,+11,+23
70,Perry County,-45,-5%,Not,-30,Not,Not
71,Piatt County,-48,Not,Not,-22,Not,Not
72,Pike County,-23,-6%,Not,-29,Not,Not
73,Pulaski County,Not,Not,Not,-57,Not,Not
74,Putnam County,Not,Not,Not,-45,Not,Not
75,Randolph County,-25,+4%,Not,-18,+10,Not
76,Richland County,-40,-2%,Not,-21,Not,Not
77,Rock Island County,-45,+25,-35,-34,+13,-31
78,Saline County,-18,+2%,Not,-19,Not,Not
79,Sangamon County,-46,+1%,-31,-35,+12,+46
80,Schuyler County,-55,Not,Not,-37,Not,Not
81,Shelby County,-26,Not,Not,-25,Not,Not
82,St. Clair County,-48,+3%,-27,-35,+13,+31
83,Stark County,Not,Not,Not,-41,Not,Not
84,Stephenson County,-33,+4%,Not,-22,+19,Not
85,Tazewell County,-36,+18,Not,-31,+11,-4%
86,Union County,-24,-10,Not,-25,Not,Not
87,Vermilion County,-26,+15,-28,-27,+8%,Not
88,Wabash County,-50,-19,Not,-34,Not,Not
89,Warren County,-19,+10,Not,-36,Not,Not
90,Washington County,-62,-6%,Not,-26,Not,Not
91,Wayne County,-38,+9%,Not,-17,Not,Not
92,White County,-42,-7%,Not,-19,Not,Not
93,Whiteside County,-39,+12,Not,-27,+20,Not
94,Will County,-43,+1%,-21,-37,+15,+39
95,Williamson County,-40,-4%,-31,-34,+18,-45
96,Winnebago County,-38,+14,-31,-36,+11,+20
97,Woodford County,-32,+10,Not,-29,+19,Not
