,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-40,-2,-29,-36,+12,+70
1,Adams County,-35,-29,Not,-27,+8%,Not
2,Allen County,-48,-12,-38,-39,+13,+76
3,Bartholomew County,-49,-10,-17,-49,+28,+23
4,Benton County,Not,Not,Not,-52,Not,Not
5,Blackford County,-53,-7%,Not,-17,Not,Not
6,Boone County,-39,-6%,-26,-35,+27,Not
7,Brown County,-70,-20,Not,-39,Not,Not
8,Carroll County,-7%,+5%,Not,-30,Not,Not
9,Cass County,-26,-3%,Not,-20,+19,Not
10,Clark County,-48,+4%,-36,-36,+12,+10
11,Clay County,-30,-29,-29,-39,-1%,Not
12,Clinton County,-31,-9%,Not,-34,+17,Not
13,Crawford County,-47,-16,-42,-54,Not,Not
14,Daviess County,-38,+5%,Not,-28,+8%,Not
15,DeKalb County,-40,-5%,Not,-37,+20,Not
16,Dearborn County,-42,-14,Not,-44,+24,Not
17,Decatur County,-53,-46,-35,-44,+11,Not
18,Delaware County,-42,-7%,-4%,-33,+10,Not
19,Dubois County,-47,-14,Not,-49,+23,Not
20,Elkhart County,-32,-5%,-20,-40,+11,+23
21,Fayette County,-27,-16,Not,-26,+6%,Not
22,Floyd County,-40,-4%,Not,-38,+23,Not
23,Fountain County,-47,+0%,Not,-31,Not,Not
24,Franklin County,-38,-32,Not,-33,Not,Not
25,Fulton County,-21,-10,-46,-35,Not,Not
26,Gibson County,-27,-4%,-46,-26,+11,Not
27,Grant County,-28,+8%,-32,-24,+8%,Not
28,Greene County,-40,-15,Not,-29,+5%,Not
29,Hamilton County,-51,-8%,Not,-42,+14,+11
30,Hancock County,-39,+33,-24,-33,+23,Not
31,Harrison County,-40,+0%,Not,-30,+19,Not
32,Hendricks County,-36,-1%,-24,-34,+13,-13
33,Henry County,-25,-1%,-28,-31,+23,Not
34,Howard County,-42,-3%,Not,-41,+11,Not
35,Huntington County,-33,-18,-46,-27,+18,Not
36,Jackson County,-26,-45,-23,-44,+25,Not
37,Jasper County,-24,-3%,-21,-26,+14,Not
38,Jay County,-43,-20,Not,-20,Not,Not
39,Jefferson County,-31,-7%,Not,-26,+14,Not
40,Jennings County,-43,-14,Not,-41,+12,Not
41,Johnson County,-46,+3%,-26,-37,+12,+0%
42,Knox County,-34,-5%,Not,-31,+14,Not
43,Kosciusko County,-39,-2%,Not,-36,+26,Not
44,LaGrange County,-62,-6%,-41,-25,+9%,-8%
45,LaPorte County,-44,+1%,-38,-35,+12,-7%
46,Lake County,-37,+4%,-18,-35,+13,+18
47,Lawrence County,-32,-2%,Not,-32,+19,Not
48,Madison County,-32,+10,-29,-35,+10,Not
49,Marion County,-45,-5%,-35,-38,+11,+50
50,Marshall County,-31,+7%,-19,-30,+17,Not
51,Martin County,-53,-8%,Not,-51,Not,Not
52,Miami County,-26,-9%,Not,-35,+16,Not
53,Monroe County,-49,-12,-33,-40,+12,+35
54,Montgomery County,-23,-9%,-28,-33,+14,Not
55,Morgan County,-27,+8%,Not,-31,+19,Not
56,Newton County,-18,Not,Not,-27,Not,Not
57,Noble County,-25,+1%,Not,-37,+22,Not
58,Ohio County,Not,Not,Not,-49,Not,Not
59,Orange County,-48,-20,Not,-48,Not,Not
60,Owen County,-26,-7%,Not,-27,Not,Not
61,Parke County,-53,+10,Not,-48,Not,Not
62,Perry County,-57,+85,Not,-41,Not,Not
63,Pike County,-54,+8%,Not,-56,Not,Not
64,Porter County,-43,+1%,-35,-37,+12,+16
65,Posey County,-27,+0%,Not,-18,-1%,Not
66,Pulaski County,-7%,-20,Not,-48,Not,Not
67,Putnam County,-28,-14,Not,-26,+11,Not
68,Randolph County,-26,-12,Not,-23,+8%,Not
69,Ripley County,-51,-15,Not,-30,+0%,Not
70,Rush County,-39,-9%,Not,-34,Not,Not
71,Scott County,-26,+1%,Not,-38,+3%,Not
72,Shelby County,-37,-4%,-51,-38,+21,Not
73,Spencer County,-44,+19,Not,-27,Not,Not
74,St. Joseph County,-43,-4%,-24,-39,+11,+10
75,Starke County,-23,+11,Not,-26,Not,Not
76,Steuben County,-44,+1%,-32,-36,+18,Not
77,Sullivan County,-38,-5%,Not,-24,Not,Not
78,Switzerland County,Not,-20,Not,-54,Not,Not
79,Tippecanoe County,-46,-12,+3%,-43,+13,+39
80,Tipton County,-35,-2%,Not,-34,Not,Not
81,Union County,-38,Not,Not,-48,Not,Not
82,Vanderburgh County,-49,-3%,-63,-34,+12,+29
83,Vermillion County,-31,+0%,-28,-27,Not,Not
84,Vigo County,-46,-8%,+5%,-35,+11,-7%
85,Wabash County,-35,-9%,Not,-31,+8%,Not
86,Warren County,Not,Not,Not,-56,Not,Not
87,Warrick County,-35,-13,Not,-34,+24,Not
88,Washington County,-40,-18,Not,-24,+11,Not
89,Wayne County,-47,-9%,-27,-32,+11,Not
90,Wells County,-30,+6%,Not,-28,+11,Not
91,White County,-25,-8%,-34,-32,+6%,Not
92,Whitley County,-32,-12,Not,-38,+21,Not
