,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-44,+7,-28,-28,+12,+40
1,Adair County,-44,+2%,Not,-43,Not,Not
2,Allamakee County,-75,-5%,Not,-38,Not,Not
3,Appanoose County,-7%,+52,Not,-14,Not,Not
4,Audubon County,Not,Not,Not,-28,Not,Not
5,Benton County,-16,+25,Not,-33,+8%,Not
6,Black Hawk County,-47,-3%,-14,-30,+12,-15
7,Boone County,-28,-21,Not,-17,+14,Not
8,Bremer County,-32,-12,Not,-31,-1%,Not
9,Buchanan County,-29,+0%,Not,-17,Not,Not
10,Buena Vista County,-31,-15,Not,-17,Not,Not
11,Butler County,Not,+2%,Not,-43,Not,Not
12,Calhoun County,Not,-12,Not,-37,Not,Not
13,Carroll County,-29,+13,Not,-26,Not,Not
14,Cass County,-32,+13,Not,-20,Not,Not
15,Cedar County,-30,+0%,-25,-21,Not,Not
16,Cerro Gordo County,-42,+19,-25,-29,+18,Not
17,Cherokee County,-76,Not,Not,-32,Not,Not
18,Chickasaw County,-25,-18,Not,-39,Not,Not
19,Clarke County,-27,Not,-36,-27,Not,Not
20,Clay County,-34,-12,Not,-20,Not,Not
21,Clayton County,-59,+7%,Not,-19,Not,Not
22,Clinton County,-38,+12,Not,-26,+18,Not
23,Crawford County,-38,Not,Not,-27,Not,Not
24,Dallas County,-67,-28,Not,-32,+24,Not
25,Davis County,-44,Not,Not,-31,Not,Not
26,Decatur County,Not,Not,Not,-29,Not,Not
27,Delaware County,-33,+19,Not,-15,Not,Not
28,Des Moines County,-40,+14,-24,-23,+16,Not
29,Dickinson County,-33,+12,Not,-31,Not,+12
30,Dubuque County,-53,+9%,-59,-37,+14,-12
31,Emmet County,-17,+11,Not,-49,Not,Not
32,Fayette County,-15,+7%,Not,-21,Not,Not
33,Floyd County,-28,-12,-16,-8%,Not,Not
34,Franklin County,-39,+7%,Not,-31,Not,Not
35,Fremont County,-45,Not,-16,-35,Not,Not
36,Greene County,-45,+4%,Not,-40,Not,Not
37,Grundy County,-64,-25,Not,-44,Not,Not
38,Guthrie County,Not,Not,Not,-34,Not,Not
39,Hamilton County,-23,-3%,-25,-6%,Not,Not
40,Hancock County,Not,-2%,Not,-44,Not,Not
41,Hardin County,-40,+26,Not,-17,Not,Not
42,Harrison County,-30,+3%,Not,-17,Not,Not
43,Henry County,-27,+12,-20,-21,Not,Not
44,Howard County,-37,+4%,Not,-46,Not,Not
45,Humboldt County,-39,-7%,Not,-46,Not,Not
46,Ida County,-64,Not,Not,-25,Not,Not
47,Iowa County,-71,+4%,Not,-31,Not,Not
48,Jackson County,-26,+16,Not,-25,Not,Not
49,Jasper County,-44,+97,-9%,-28,+12,Not
50,Jefferson County,-39,Not,Not,-27,Not,Not
51,Johnson County,-55,-24,-28,-37,+15,+35
52,Jones County,-37,+14,Not,-21,Not,Not
53,Keokuk County,-66,Not,Not,-33,Not,Not
54,Kossuth County,-62,+60,Not,-27,Not,Not
55,Lee County,-28,-1%,Not,-21,+13,Not
56,Linn County,-51,+10,-53,-35,+13,+37
57,Louisa County,Not,Not,Not,-51,Not,Not
58,Lucas County,-59,+8%,Not,-25,Not,Not
59,Lyon County,-70,Not,Not,-42,Not,Not
60,Madison County,-46,+26,Not,-29,Not,Not
61,Mahaska County,-32,Not,Not,-19,Not,Not
62,Marion County,-35,+43,Not,-35,+13,Not
63,Marshall County,-34,+7%,Not,-23,+17,Not
64,Mills County,-8%,Not,Not,-27,Not,Not
65,Mitchell County,-67,Not,Not,-38,Not,Not
66,Monona County,-25,Not,Not,-38,Not,Not
67,Monroe County,-51,Not,Not,-40,Not,Not
68,Montgomery County,-42,-3%,Not,-26,Not,Not
69,Muscatine County,-36,+51,Not,-30,+21,Not
70,O'Brien County,-17,-9%,Not,-11,Not,Not
71,Osceola County,Not,Not,Not,-41,Not,Not
72,Page County,-43,Not,Not,-20,Not,Not
73,Palo Alto County,-33,-18,Not,-40,Not,Not
74,Plymouth County,-32,+16,Not,-27,+8%,Not
75,Pocahontas County,Not,Not,Not,-37,Not,Not
76,Polk County,-49,+5%,-42,-32,+13,+27
77,Pottawattamie County,-40,+17,-18,-31,+11,+53
78,Poweshiek County,-23,-5%,-18,-28,Not,Not
79,Sac County,Not,Not,Not,-32,Not,Not
80,Scott County,-48,-2%,-12,-33,+13,+30
81,Shelby County,-20,-14,Not,-37,Not,Not
82,Sioux County,-33,+11,Not,-17,+16,Not
83,Story County,-48,-9%,-28,-37,+22,Not
84,Tama County,-42,-7%,Not,-34,Not,Not
85,Taylor County,Not,Not,Not,-21,Not,Not
86,Union County,-22,Not,Not,-29,Not,Not
87,Van Buren County,Not,Not,Not,-42,Not,Not
88,Wapello County,-38,+19,Not,-25,+11,Not
89,Warren County,-33,+7%,Not,-31,+15,Not
90,Washington County,-23,-9%,Not,-23,-3%,Not
91,Wayne County,Not,Not,Not,-31,Not,Not
92,Webster County,-34,+44,Not,-20,+17,Not
93,Winnebago County,-45,-16,Not,-50,Not,Not
94,Winneshiek County,-56,-17,Not,-36,Not,Not
95,Woodbury County,-44,+4%,-13,-24,+11,Not
96,Worth County,Not,-31,Not,-44,Not,Not
97,Wright County,-27,+4%,Not,-17,Not,Not
