,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-41,-3,-23,-31,+11,+97
1,Allen County,-28,-2%,Not,-30,Not,Not
2,Anderson County,-33,Not,Not,-37,Not,Not
3,Atchison County,-20,Not,Not,-29,Not,Not
4,Barton County,-30,-16,Not,-18,-1%,Not
5,Bourbon County,-37,-15,Not,-24,Not,Not
6,Brown County,-18,-13,Not,-35,Not,Not
7,Butler County,-24,-3%,Not,-24,+18,Not
8,Cherokee County,-24,+5%,Not,-27,-4%,Not
9,Clay County,-23,-22,Not,-40,Not,Not
10,Cloud County,-47,Not,Not,-33,Not,Not
11,Coffey County,-73,-49,-32,-39,Not,Not
12,Cowley County,-25,-20,-57,-34,+16,Not
13,Crawford County,-41,-14,Not,-21,+15,Not
14,Dickinson County,-44,-14,-17,-18,Not,Not
15,Doniphan County,Not,Not,Not,-31,Not,Not
16,Douglas County,-50,-16,-9%,-40,+13,+11
17,Ellis County,-53,-23,-15,-41,-1%,Not
18,Ellsworth County,Not,-31,Not,-35,Not,Not
19,Finney County,-43,-18,-46,+11,+19,Not
20,Ford County,-37,-22,-22,-43,+13,Not
21,Franklin County,-29,-19,-16,-28,+12,Not
22,Geary County,-31,-12,Not,-27,+22,Not
23,Grant County,-22,Not,Not,-30,Not,Not
24,Greenwood County,Not,Not,Not,-40,Not,Not
25,Harper County,-65,Not,Not,-34,Not,Not
26,Harvey County,-42,+27,-35,-27,+19,Not
27,Jackson County,-29,-26,Not,-38,Not,Not
28,Jefferson County,-62,+5%,Not,-24,Not,Not
29,Johnson County,-48,-9%,-11,-39,+14,+14
30,Kingman County,-46,Not,Not,-33,Not,Not
31,Labette County,-34,-15,Not,-13,Not,Not
32,Leavenworth County,-31,-2%,-52,-28,+17,Not
33,Linn County,Not,Not,Not,-32,Not,Not
34,Lyon County,-41,-28,-40,-28,+16,Not
35,Marion County,-30,Not,Not,-44,Not,Not
36,Marshall County,-30,Not,Not,-40,Not,Not
37,McPherson County,-39,-20,-37,-24,+13,Not
38,Miami County,-18,-13,Not,-27,+16,Not
39,Mitchell County,-71,Not,Not,-31,Not,Not
40,Montgomery County,-23,-7%,Not,-15,+12,Not
41,Morris County,Not,Not,Not,-48,Not,Not
42,Nemaha County,-76,Not,Not,-34,Not,Not
43,Neosho County,-29,-8%,-20,-15,Not,Not
44,Osage County,-66,+7%,Not,-24,Not,Not
45,Ottawa County,Not,Not,Not,-37,Not,Not
46,Pawnee County,-48,-21,Not,-30,Not,Not
47,Pottawatomie County,-41,-9%,Not,-33,+2%,Not
48,Pratt County,-33,-13,Not,-35,Not,Not
49,Reno County,-33,-7%,-30,-29,+9%,Not
50,Rice County,-33,-25,Not,-40,Not,Not
51,Riley County,-55,-32,-53,-38,+25,-50
52,Russell County,-56,-24,Not,-34,Not,Not
53,Saline County,-45,-21,-23,-36,+17,-7%
54,Scott County,-53,Not,Not,-33,Not,Not
55,Sedgwick County,-42,-3%,-30,-35,+11,+40
56,Seward County,-39,-21,-19,-17,-1%,Not
57,Shawnee County,-39,-2%,+26,-32,+11,+10
58,Sherman County,-31,Not,Not,-34,Not,Not
59,Stevens County,-62,Not,Not,-49,Not,Not
60,Sumner County,-28,+17,Not,-24,+1%,Not
61,Thomas County,-44,-22,-4%,-25,Not,Not
62,Trego County,Not,-27,Not,Not,Not,Not
63,Wabaunsee County,Not,Not,Not,-46,Not,Not
64,Washington County,Not,Not,Not,-38,Not,Not
65,Wilson County,-56,-9%,Not,-42,Not,Not
66,Wyandotte County,-45,-8%,-9%,-33,+11,+49
