,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-39,+3,-36,-33,+10,+60
1,Adair County,-28,+6%,Not,-52,Not,Not
2,Allen County,-9%,+7%,Not,-28,Not,Not
3,Anderson County,-21,-3%,Not,-34,-1%,Not
4,Ballard County,Not,Not,Not,-41,Not,Not
5,Barren County,-36,+12,Not,-27,+7%,Not
6,Bath County,Not,-11,Not,-48,Not,Not
7,Bell County,-40,-3%,Not,-21,Not,Not
8,Boone County,-46,-5%,-58,-39,+12,+31
9,Bourbon County,-17,-13,Not,-25,Not,Not
10,Boyd County,-48,+1%,-40,-30,+13,Not
11,Boyle County,-41,-11,Not,-28,Not,Not
12,Bracken County,Not,Not,Not,-47,Not,Not
13,Breathitt County,-11,Not,Not,-42,Not,Not
14,Breckinridge County,+5%,+19,Not,-31,Not,Not
15,Bullitt County,-35,+8%,-31,-32,+21,Not
16,Butler County,+8%,+15,Not,-52,Not,Not
17,Caldwell County,-31,-2%,Not,-40,Not,Not
18,Calloway County,-47,-11,Not,-34,+10,Not
19,Campbell County,-46,+4%,Not,-41,+13,Not
20,Carlisle County,Not,Not,Not,-42,Not,Not
21,Carroll County,-20,-10,Not,-13,Not,Not
22,Carter County,-24,-1%,-19,-21,Not,Not
23,Casey County,+7%,+15,Not,-49,Not,Not
24,Christian County,-30,+4%,-25,-28,+21,Not
25,Clark County,-32,-16,Not,-33,+12,Not
26,Clay County,+8%,+2%,Not,-36,Not,Not
27,Clinton County,Not,Not,Not,-33,Not,Not
28,Crittenden County,-19,+6%,Not,-46,Not,Not
29,Daviess County,-48,+0%,Not,-29,+11,+26
30,Edmonson County,Not,Not,Not,-50,Not,Not
31,Estill County,-15,-4%,Not,-48,Not,Not
32,Fayette County,-49,-1%,-33,-40,+12,+5%
33,Fleming County,-7%,+13,Not,-46,Not,Not
34,Floyd County,-17,-5%,Not,-17,Not,Not
35,Franklin County,-35,-3%,Not,-37,+24,Not
36,Fulton County,-24,+6%,Not,-44,Not,Not
37,Gallatin County,Not,+58,-89,-46,Not,Not
38,Garrard County,-10,+19,Not,-33,Not,Not
39,Grant County,-26,-7%,Not,-38,+1%,Not
40,Graves County,-25,+4%,Not,-26,+10,Not
41,Grayson County,-12,+24,Not,-32,Not,Not
42,Green County,Not,Not,Not,-48,Not,Not
43,Greenup County,-31,+7%,Not,-28,+1%,Not
44,Hancock County,Not,Not,Not,-49,Not,Not
45,Hardin County,-42,-2%,-32,-38,+11,Not
46,Harlan County,-10,+15,Not,-13,Not,Not
47,Harrison County,-17,-14,Not,-24,Not,Not
48,Hart County,+2%,+14,-38,-16,Not,Not
49,Henderson County,-39,+55,Not,-29,+19,Not
50,Henry County,-37,+23,-35,-41,Not,Not
51,Hopkins County,-38,-3%,-40,-26,+16,Not
52,Jackson County,Not,Not,Not,-46,Not,Not
53,Jefferson County,-44,+5%,-27,-40,+12,+10
54,Jessamine County,-40,-9%,-15,-28,+20,Not
55,Johnson County,-40,+62,Not,-30,Not,Not
56,Kenton County,-37,+3%,-9%,-37,+13,+37
57,Knott County,Not,Not,Not,-43,Not,Not
58,Knox County,-23,+13,Not,-25,Not,Not
59,Larue County,-24,+12,Not,-30,Not,Not
60,Laurel County,-41,+3%,-61,-32,+17,+57
61,Lawrence County,-28,-28,Not,-27,Not,Not
62,Letcher County,-25,+0%,Not,-43,Not,Not
63,Lewis County,Not,-14,Not,-37,Not,Not
64,Lincoln County,-12,+38,Not,-22,Not,Not
65,Livingston County,Not,+17,Not,-37,Not,Not
66,Logan County,-17,+12,Not,-27,Not,Not
67,Lyon County,-43,Not,Not,-47,Not,Not
68,Madison County,-41,-3%,-17,-39,+10,Not
69,Marion County,-24,+3%,Not,-39,Not,Not
70,Marshall County,-33,+5%,-31,-23,+9%,Not
71,Mason County,-26,Not,Not,-26,Not,Not
72,McCracken County,-51,-8%,-26,-30,+19,-25
73,McCreary County,-14,+15,Not,-39,Not,Not
74,McLean County,Not,Not,Not,-45,Not,Not
75,Meade County,-20,+8%,Not,-38,+8%,Not
76,Menifee County,Not,Not,Not,-46,Not,Not
77,Mercer County,-26,-9%,Not,-35,Not,Not
78,Metcalfe County,Not,-16,Not,-47,Not,Not
79,Monroe County,-7%,Not,Not,-34,Not,Not
80,Montgomery County,-30,+10,-22,-34,-3%,Not
81,Morgan County,-59,Not,Not,-48,Not,Not
82,Muhlenberg County,-27,+15,Not,-25,Not,Not
83,Nelson County,-32,+5%,Not,-37,+18,Not
84,Nicholas County,Not,Not,Not,-45,Not,Not
85,Ohio County,-23,+29,-45,-20,Not,Not
86,Oldham County,-30,+19,Not,-30,+25,Not
87,Owen County,Not,Not,Not,-52,Not,Not
88,Pendleton County,+0%,-12,Not,-25,Not,Not
89,Perry County,-37,-5%,Not,-23,Not,Not
90,Pike County,-46,-22,Not,-21,Not,Not
91,Powell County,+0%,-2%,Not,-43,Not,Not
92,Pulaski County,-39,-9%,Not,-33,+19,Not
93,Rockcastle County,-43,-4%,Not,-24,Not,Not
94,Rowan County,-30,+8%,Not,-27,Not,Not
95,Russell County,-20,+23,Not,-45,Not,Not
96,Scott County,-39,-13,-43,-41,+27,Not
97,Shelby County,-43,+11,-31,-43,+20,Not
98,Simpson County,-29,-2%,-38,-38,Not,Not
99,Spencer County,-20,+6%,Not,-31,Not,Not
100,Taylor County,-28,+28,Not,-26,Not,Not
101,Todd County,-52,+15,Not,-51,Not,Not
102,Trigg County,-33,+17,Not,-50,Not,Not
103,Trimble County,Not,Not,Not,-50,Not,Not
104,Union County,-23,+6%,Not,-56,Not,Not
105,Warren County,-45,-13,-14,-37,+12,-43
106,Washington County,-29,Not,Not,-59,Not,Not
107,Wayne County,-11,-11,Not,-32,Not,Not
108,Webster County,-34,+10,Not,-34,Not,Not
109,Whitley County,-38,+6%,-14,-27,-3%,Not
110,Wolfe County,Not,Not,Not,-49,Not,Not
111,Woodford County,-26,-13,Not,-29,Not,Not
