,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-45,-2,-54,-36,+14,-35
1,Acadia Parish,-31,+23,-52,-28,+12,Not
2,Allen Parish,-35,-10,Not,-38,Not,Not
3,Ascension Parish,-46,+4%,Not,-36,+15,Not
4,Assumption Parish,Not,-3%,Not,-31,Not,Not
5,Avoyelles Parish,-16,+5%,Not,-27,-2%,Not
6,Beauregard Parish,-27,-7%,Not,-33,+3%,Not
7,Bienville Parish,-44,-8%,Not,-40,Not,Not
8,Bossier Parish,-57,-8%,-53,-41,+15,-13
9,Caddo Parish,-42,+0%,-46,-36,+13,-43
10,Calcasieu Parish,-42,-9%,-51,-33,+14,-31
11,Caldwell Parish,-13,Not,Not,-43,Not,Not
12,Cameron Parish,Not,+10,Not,-48,Not,Not
13,Catahoula Parish,-64,-24,Not,-44,Not,Not
14,Claiborne Parish,-41,-14,Not,-41,Not,Not
15,Concordia Parish,-24,-16,Not,-30,Not,Not
16,De Soto Parish,-22,-12,-35,-23,Not,Not
17,East Baton Rouge Parish,-48,+3%,-43,-36,+14,-28
18,East Feliciana Parish,-23,-3%,Not,-58,Not,Not
19,Evangeline Parish,-36,+1%,Not,-28,Not,Not
20,Franklin Parish,-25,+3%,Not,-20,Not,Not
21,Grant Parish,Not,+17,Not,-20,Not,Not
22,Iberia Parish,-27,+7%,Not,-27,+21,-28
23,Iberville Parish,-24,+0%,-49,-37,Not,Not
24,Jackson Parish,-21,-5%,Not,-44,Not,Not
25,Jefferson Davis Parish,-52,-7%,-53,-30,-1%,Not
26,Jefferson Parish,-50,-5%,-85,-45,+17,-35
27,La Salle Parish,-36,+2%,Not,-41,Not,Not
28,Lafayette Parish,-48,-4%,-40,-36,+14,-21
29,Lafourche Parish,-31,+2%,-54,-29,+22,Not
30,Lincoln Parish,-60,+2%,-39,-33,+9%,Not
31,Livingston Parish,-37,+9%,-35,-34,+12,-32
32,Madison Parish,-14,+6%,-50,-36,Not,Not
33,Morehouse Parish,-20,-9%,Not,-25,Not,Not
34,Natchitoches Parish,-38,-16,Not,-32,+6%,Not
35,Orleans Parish,-72,-26,-56,-53,+19,-62
36,Ouachita Parish,-45,-1%,-38,-30,+11,-7%
37,Plaquemines Parish,-35,-14,Not,-46,Not,-33
38,Pointe Coupee Parish,-18,-3%,Not,-9%,Not,Not
39,Rapides Parish,-39,+0%,-53,-27,+11,-39
40,Red River Parish,-58,Not,Not,-40,Not,Not
41,Richland Parish,-28,+1%,-36,-17,Not,Not
42,Sabine Parish,-23,-15,Not,-23,Not,Not
43,St. Bernard Parish,-27,+23,Not,-42,+20,-19
44,St. Charles Parish,-45,+20,-41,-38,+24,Not
45,St. Helena Parish,Not,-20,Not,-58,Not,Not
46,St. James Parish,-13,-4%,Not,-29,Not,Not
47,St. John the Baptist Parish,-37,-1%,-57,-38,+21,-62
48,St. Landry Parish,-38,+20,-38,-26,+20,Not
49,St. Martin Parish,-41,+14,-46,-36,+15,-16
50,St. Mary Parish,-34,-8%,-57,-41,+13,Not
51,St. Tammany Parish,-45,+2%,-32,-35,+14,-15
52,Tangipahoa Parish,-31,+5%,-39,-31,+13,-20
53,Terrebonne Parish,-47,+0%,-49,-37,+14,-8%
54,Union Parish,-28,+13,Not,-24,Not,Not
55,Vermilion Parish,-39,+12,Not,-27,+12,Not
56,Vernon Parish,-31,-10,Not,-26,+20,Not
57,Washington Parish,-29,+18,Not,-22,+2%,Not
58,Webster Parish,-28,-9%,-40,-35,+13,Not
59,West Baton Rouge Parish,-44,+15,-54,-34,Not,Not
60,West Carroll Parish,-16,-2%,Not,-47,Not,Not
61,West Feliciana Parish,-69,-19,Not,-60,Not,Not
62,Winn Parish,-18,+0%,Not,-41,Not,Not
