,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-43,-2,-55,-33,+10,-16
1,Androscoggin County,-41,+4%,Not,-31,+10,-33
2,Aroostook County,-43,+9%,Not,-23,+24,-37
3,Cumberland County,-54,-22,-65,-40,+14,+30
4,Franklin County,-35,-13,Not,-33,+0%,-50
5,Hancock County,-36,-25,Not,-27,+18,+0%
6,Kennebec County,-38,+2%,-43,-30,+8%,-47
7,Knox County,-38,-24,Not,-30,+11,Not
8,Lincoln County,-52,-20,Not,-29,+6%,Not
9,Oxford County,-43,+2%,Not,-36,+15,-19
10,Penobscot County,-42,-3%,-50,-33,+6%,-27
11,Piscataquis County,-45,-17,Not,-28,Not,Not
12,Sagadahoc County,-40,-8%,Not,-36,+13,Not
13,Somerset County,-30,+7%,Not,-26,+7%,-31
14,Waldo County,-43,-28,Not,-28,+13,Not
15,Washington County,-50,-19,Not,-25,Not,Not
16,York County,-42,+1%,-64,-36,+13,+20
