,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-43,-14,-49,-39,+15,+24
1,Allegany County,-41,-6%,-39,-30,+20,-55
2,Anne Arundel County,-47,-19,-80,-41,+15,+25
3,Baltimore,-44,-12,-31,-36,+13,+26
4,Baltimore County,-41,+0%,-32,-37,+15,+63
5,Calvert County,-33,-10,Not,-36,+28,+16
6,Caroline County,-35,-8%,Not,-28,+17,Not
7,Carroll County,-38,-15,-61,-36,+15,+66
8,Cecil County,-23,-17,-59,-32,+12,+66
9,Charles County,-38,-7%,-30,-39,+15,-42
10,Dorchester County,-25,-5%,Not,-25,+13,Not
11,Frederick County,-48,-19,-24,-38,+15,+36
12,Garrett County,-42,-6%,-35,-30,-1%,Not
13,Harford County,-39,-10,-61,-35,+14,+99
14,Howard County,-55,-35,-32,-46,+18,+28
15,Kent County,-38,-18,Not,-22,Not,Not
16,Montgomery County,-53,-28,-53,-46,+19,+32
17,Prince George's County,-39,-19,-49,-40,+17,+14
18,Queen Anne's County,-48,-24,Not,-33,+23,-28
19,Somerset County,-21,-5%,Not,-26,Not,Not
20,St. Mary's County,-39,+3%,Not,-33,+13,-1%
21,Talbot County,-33,-9%,Not,-32,+8%,Not
22,Washington County,-42,-6%,-25,-33,+12,+64
23,Wicomico County,-45,-16,-50,-37,+13,Not
24,Worcester County,-49,-8%,Not,-37,+21,-37
