,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-49,-12,-64,-44,+16,+33
1,Barnstable County,-43,-7%,-40,-38,+13,+93
2,Berkshire County,-43,-6%,-63,-36,+13,-24
3,Bristol County,-40,+0%,-33,-38,+14,+49
4,Dukes County,-80,-36,-44,-51,Not,Not
5,Essex County,-47,-15,-38,-46,+16,+59
6,Franklin County,-43,-7%,-55,-37,+25,-37
7,Hampden County,-44,+1%,-40,-39,+13,+39
8,Hampshire County,-52,-9%,-45,-41,+14,+22
9,Middlesex County,-55,-19,-60,-47,+17,+25
10,Nantucket County,-70,-35,Not,-54,Not,Not
11,Norfolk County,-53,-11,-46,-45,+17,+87
12,Plymouth County,-41,-3%,-36,-38,+15,+10
13,Suffolk County,-66,-19,-76,-55,+20,-26
14,Worcester County,-42,-12,-52,-39,+14,+46
