,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-58,-15,-51,-45,+16,+59
1,Alcona County,+1%,Not,Not,-50,Not,Not
2,Alger County,-79,-45,Not,-62,Not,-14
3,Allegan County,-49,-4%,-51,-41,+15,Not
4,Alpena County,-50,-10,Not,-34,+3%,Not
5,Antrim County,-73,-8%,Not,-43,Not,Not
6,Arenac County,-28,+13,Not,-35,Not,Not
7,Baraga County,Not,-44,Not,-63,Not,Not
8,Barry County,-48,+18,Not,-37,+29,Not
9,Bay County,-59,-11,Not,-41,+14,-23
10,Benzie County,-23,-3%,Not,-33,Not,Not
11,Berrien County,-45,-2%,-35,-37,+12,+12
12,Branch County,-55,-10,Not,-40,+21,Not
13,Calhoun County,-51,-8%,-44,-41,+13,+30
14,Cass County,-38,+3%,Not,-32,+25,Not
15,Charlevoix County,-46,-22,Not,-43,Not,+25
16,Cheboygan County,-45,-7%,Not,-38,Not,Not
17,Chippewa County,-63,+21,Not,-40,+2%,-50
18,Clare County,-63,+4%,Not,-30,+9%,Not
19,Clinton County,-58,-18,-50,-41,+30,Not
20,Crawford County,-47,-34,Not,-35,Not,Not
21,Delta County,-51,-14,Not,-34,+9%,Not
22,Dickinson County,-38,-13,Not,-29,+0%,Not
23,Eaton County,-58,-22,Not,-37,+15,Not
24,Emmet County,-67,-28,Not,-49,+1%,Not
25,Genesee County,-55,-10,-45,-46,+15,+94
26,Gladwin County,-54,-2%,Not,-38,+0%,Not
27,Gogebic County,-41,-33,Not,-41,Not,Not
28,Grand Traverse County,-65,-26,-74,-44,+13,+80
29,Gratiot County,-47,-7%,Not,-31,+18,Not
30,Hillsdale County,-51,-15,Not,-41,+22,Not
31,Houghton County,-64,-18,Not,-39,+3%,-29
32,Huron County,-38,-5%,Not,-32,+0%,Not
33,Ingham County,-63,-22,-53,-40,+15,+10
34,Ionia County,-48,+1%,-47,-34,+28,Not
35,Iosco County,-50,+28,Not,-37,Not,Not
36,Iron County,-34,-9%,Not,-44,Not,Not
37,Isabella County,-65,-25,Not,-44,+28,Not
38,Jackson County,-54,-9%,-43,-39,+14,-7%
39,Kalamazoo County,-60,-20,-60,-40,+15,+10
40,Kalkaska County,-50,-5%,Not,-42,Not,Not
41,Kent County,-64,-20,-54,-44,+16,+61
42,Lake County,-43,+10,Not,-51,Not,Not
43,Lapeer County,-52,-18,Not,-48,+31,-32
44,Leelanau County,-64,-33,Not,-47,Not,Not
45,Lenawee County,-54,-11,Not,-43,+15,Not
46,Livingston County,-64,-13,Not,-48,+17,+19
47,Luce County,-67,Not,Not,Not,Not,Not
48,Mackinac County,-75,-37,Not,-60,Not,Not
49,Macomb County,-58,-14,-32,-53,+18,+12
50,Manistee County,-53,-12,Not,-31,Not,Not
51,Marquette County,-64,-16,Not,-33,+26,+1%
52,Mason County,-53,-11,Not,-38,+7%,Not
53,Mecosta County,-48,+1%,Not,-29,+20,Not
54,Menominee County,-34,-18,Not,-29,Not,Not
55,Midland County,-56,-9%,Not,-38,+30,-14
56,Missaukee County,-37,Not,Not,-30,Not,Not
57,Monroe County,-57,-9%,-31,-38,+15,+58
58,Montcalm County,-39,+8%,Not,-32,+27,Not
59,Montmorency County,-54,-12,Not,-50,Not,Not
60,Muskegon County,-53,-8%,Not,-42,+13,+13
61,Newaygo County,-37,+18,Not,-32,+25,+88
62,Oakland County,-66,-22,-42,-52,+18,+63
63,Oceana County,-46,+17,Not,-34,-1%,+9%
64,Ogemaw County,-47,+0%,Not,-31,Not,Not
65,Ontonagon County,-46,Not,Not,Not,Not,Not
66,Osceola County,-46,+10,Not,-34,Not,Not
67,Oscoda County,-28,-14,Not,-55,Not,Not
68,Otsego County,-67,-37,Not,-44,-1%,Not
69,Ottawa County,-55,-20,-11,-45,+16,+17
70,Presque Isle County,-64,-4%,Not,-47,Not,Not
71,Roscommon County,-55,+30,Not,-37,Not,-33
72,Saginaw County,-63,-16,-58,-44,+15,-14
73,Sanilac County,-46,-13,Not,-36,+12,Not
74,Schoolcraft County,-80,-32,Not,-51,Not,-22
75,Shiawassee County,-47,-5%,Not,-43,+28,Not
76,St. Clair County,-54,-15,-44,-46,+15,+27
77,St. Joseph County,-40,-19,Not,-38,+27,Not
78,Tuscola County,-41,-18,Not,-38,+27,Not
79,Van Buren County,-41,+4%,Not,-35,+26,Not
80,Washtenaw County,-63,-38,-46,-53,+17,+11
81,Wayne County,-57,-11,-55,-48,+17,+36
82,Wexford County,-56,-7%,Not,-40,+12,Not
