,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-44,-2,-51,-36,+14,+50
1,Aitkin County,-47,-35,Not,-33,Not,-58
2,Anoka County,-36,+2%,-9%,-36,+14,+11
3,Becker County,-57,+62,Not,-36,+16,Not
4,Beltrami County,-39,+3%,Not,-30,+22,-38
5,Benton County,-35,+5%,Not,-33,+21,Not
6,Big Stone County,Not,Not,Not,-35,Not,Not
7,Blue Earth County,-57,-10,Not,-32,+23,-26
8,Brown County,-29,-21,Not,-16,+9%,Not
9,Carlton County,-27,-14,Not,-27,+11,Not
10,Carver County,-37,+1%,Not,-33,+28,+46
11,Cass County,-60,-4%,Not,-33,+0%,-11
12,Chippewa County,-19,Not,Not,-22,Not,Not
13,Chisago County,-43,+3%,Not,-32,+24,-33
14,Clay County,-37,+0%,Not,-35,+25,Not
15,Clearwater County,-72,-28,Not,-47,Not,Not
16,Cook County,-64,-58,Not,-54,Not,Not
17,Cottonwood County,-46,Not,Not,-52,Not,Not
18,Crow Wing County,-42,+0%,Not,-39,+20,+14
19,Dakota County,-42,-4%,-11,-38,+14,+90
20,Dodge County,-46,-17,Not,-27,+4%,Not
21,Douglas County,-39,-20,-28,-27,+22,-47
22,Faribault County,-31,-10,Not,-14,Not,Not
23,Fillmore County,-52,-7%,Not,-21,Not,Not
24,Freeborn County,-27,-4%,-20,-30,+18,Not
25,Goodhue County,-25,+13,Not,-34,+21,-20
26,Grant County,Not,Not,Not,-38,Not,Not
27,Hennepin County,-53,-6%,-65,-43,+16,+65
28,Houston County,-78,-11,Not,-30,Not,Not
29,Hubbard County,-35,-4%,Not,-42,Not,Not
30,Isanti County,-26,+14,Not,-24,+20,-36
31,Itasca County,-39,-4%,Not,-31,+19,Not
32,Jackson County,-77,Not,Not,-46,Not,Not
33,Kanabec County,-34,-12,Not,-40,Not,Not
34,Kandiyohi County,-35,-7%,Not,-20,+20,Not
35,Koochiching County,-46,-18,Not,-29,Not,Not
36,Lac qui Parle County,Not,Not,Not,-36,Not,Not
37,Lake County,-43,-16,Not,-42,Not,+25
38,Lake of the Woods County,-71,Not,Not,Not,Not,Not
39,Le Sueur County,-1%,-4%,Not,-26,+18,Not
40,Lincoln County,Not,Not,Not,-40,Not,Not
41,Lyon County,-39,-12,Not,-26,+4%,Not
42,Mahnomen County,Not,Not,Not,-60,Not,Not
43,Marshall County,Not,Not,Not,-49,Not,Not
44,Martin County,-45,-16,Not,-13,Not,Not
45,McLeod County,-32,-14,Not,-22,+21,Not
46,Meeker County,-31,-17,Not,-21,+3%,Not
47,Mille Lacs County,-30,+4%,Not,-32,+11,Not
48,Morrison County,-37,-17,Not,-28,+14,-61
49,Mower County,-35,+5%,Not,-17,+20,Not
50,Murray County,-70,Not,Not,-39,Not,Not
51,Nicollet County,-47,-10,Not,-34,+20,Not
52,Nobles County,-33,-3%,-49,-45,Not,Not
53,Norman County,Not,Not,Not,-38,Not,Not
54,Olmsted County,-50,-1%,-29,-37,+14,+10
55,Otter Tail County,-41,+0%,Not,-26,+20,-9%
56,Pennington County,-35,-23,Not,-49,Not,Not
57,Pine County,-41,+9%,Not,-46,+10,-47
58,Pipestone County,-29,-20,Not,-33,Not,Not
59,Polk County,-52,-19,Not,-32,+15,Not
60,Pope County,-55,Not,Not,-39,Not,Not
61,Ramsey County,-54,-3%,-25,-39,+15,+26
62,Red Lake County,Not,Not,Not,-37,Not,Not
63,Redwood County,-41,-16,Not,-30,Not,Not
64,Renville County,-77,Not,Not,-22,Not,Not
65,Rice County,-31,+14,-19,-38,+21,+2%
66,Rock County,-41,Not,Not,-40,Not,Not
67,Roseau County,-73,-23,Not,-52,Not,Not
68,Scott County,-40,-6%,Not,-40,+15,+83
69,Sherburne County,-26,+8%,Not,-32,+24,-42
70,Sibley County,-71,Not,Not,-11,Not,Not
71,St. Louis County,-51,-8%,-36,-36,+14,+32
72,Stearns County,-48,-2%,-53,-34,+13,-19
73,Steele County,-40,+22,-47,-33,+22,-37
74,Stevens County,-48,-4%,Not,-33,Not,Not
75,Swift County,-38,-15,Not,-41,Not,Not
76,Todd County,-23,-7%,Not,-35,+3%,Not
77,Wabasha County,-59,+13,Not,-31,Not,Not
78,Wadena County,-40,-8%,Not,-38,Not,Not
79,Waseca County,-25,-9%,Not,-23,Not,Not
80,Washington County,-41,-7%,-7%,-38,+15,+13
81,Watonwan County,-51,Not,Not,-12,Not,Not
82,Wilkin County,Not,Not,Not,-38,Not,Not
83,Winona County,-36,-4%,-54,-31,+24,Not
84,Wright County,-39,+7%,Not,-31,+14,+79
85,Yellow Medicine County,-57,Not,Not,-38,Not,Not
