,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-35,+1,-38,-32,+11,-12
1,Adams County,-36,-14,Not,-29,Not,Not
2,Alcorn County,-40,-13,Not,-31,+1%,Not
3,Amite County,-50,-31,Not,-35,Not,Not
4,Attala County,-27,-11,Not,-37,Not,Not
5,Benton County,Not,Not,Not,-45,Not,Not
6,Bolivar County,-29,-16,Not,-24,Not,Not
7,Calhoun County,-63,-30,Not,-53,Not,Not
8,Carroll County,Not,Not,Not,-48,Not,Not
9,Chickasaw County,-41,-25,Not,-37,Not,Not
10,Claiborne County,-66,Not,Not,-28,Not,Not
11,Clarke County,-18,-10,Not,-46,Not,Not
12,Clay County,-43,-3%,-44,-23,Not,Not
13,Coahoma County,-37,-8%,Not,-36,Not,Not
14,Copiah County,-35,-8%,Not,-24,Not,Not
15,Covington County,-43,-28,Not,-20,Not,Not
16,DeSoto County,-38,+7%,-35,-35,+12,+3%
17,Forrest County,-45,+5%,-33,-30,+19,Not
18,George County,-55,+25,Not,-29,Not,Not
19,Greene County,Not,-6%,Not,-47,Not,Not
20,Grenada County,-20,-14,Not,-30,Not,Not
21,Hancock County,-33,+5%,Not,-40,+16,Not
22,Harrison County,-44,-5%,-46,-45,+14,-3%
23,Hinds County,-32,+8%,-19,-27,+10,-24
24,Holmes County,-55,-6%,Not,-51,Not,Not
25,Humphreys County,Not,+9%,Not,-40,Not,Not
26,Itawamba County,-44,-8%,Not,-33,Not,Not
27,Jackson County,-33,-5%,-50,-43,+14,-27
28,Jasper County,-55,-8%,Not,-40,Not,Not
29,Jefferson County,Not,Not,Not,-35,Not,Not
30,Jefferson Davis County,Not,+16,Not,-51,Not,Not
31,Jones County,-26,+8%,-47,-31,+17,Not
32,Kemper County,Not,Not,Not,-45,Not,Not
33,Lafayette County,-50,-28,Not,-41,+10,Not
34,Lamar County,-55,-9%,-49,-30,+17,Not
35,Lauderdale County,-42,-6%,-40,-32,+18,-10
36,Lawrence County,Not,-18,Not,-40,Not,Not
37,Leake County,-41,-35,Not,-33,Not,Not
38,Lee County,-53,-8%,-37,-37,+23,Not
39,Leflore County,-25,-7%,Not,-24,Not,Not
40,Lincoln County,-32,-18,Not,-26,Not,Not
41,Lowndes County,-43,+29,-43,-27,+17,Not
42,Madison County,-40,-8%,-44,-33,+27,-53
43,Marion County,-35,-12,Not,-15,Not,Not
44,Marshall County,-33,-4%,Not,-33,+5%,Not
45,Monroe County,-56,+25,Not,-31,+0%,Not
46,Montgomery County,-58,-29,-38,-43,Not,Not
47,Neshoba County,-33,-20,Not,-30,Not,Not
48,Newton County,-29,-13,Not,-36,Not,Not
49,Noxubee County,-71,+2%,Not,-31,Not,Not
50,Oktibbeha County,-48,-22,Not,-34,+2%,Not
51,Panola County,-27,+4%,-34,-34,-3%,Not
52,Pearl River County,-23,+3%,-48,-28,+18,Not
53,Perry County,Not,-21,Not,-44,Not,-25
54,Pike County,-29,-2%,-35,-26,-2%,Not
55,Pontotoc County,-47,-10,Not,-47,-1%,Not
56,Prentiss County,-37,-3%,Not,-13,Not,Not
57,Quitman County,Not,Not,Not,-48,Not,Not
58,Rankin County,-49,-3%,-41,-28,+11,-63
59,Scott County,-42,-4%,-39,-25,Not,Not
60,Simpson County,-42,-9%,-30,-17,Not,Not
61,Smith County,Not,-35,Not,-48,Not,Not
62,Stone County,-29,-26,Not,-31,Not,Not
63,Sunflower County,-21,-1%,-11,-20,Not,Not
64,Tallahatchie County,Not,+13,Not,-41,Not,Not
65,Tate County,-31,-2%,+8%,-27,Not,Not
66,Tippah County,-35,-14,Not,-33,Not,Not
67,Tishomingo County,-26,+0%,Not,-24,Not,Not
68,Tunica County,-50,-12,Not,-50,Not,Not
69,Union County,-42,-16,-32,-39,Not,Not
70,Walthall County,-58,-11,Not,-35,Not,Not
71,Warren County,-32,-2%,Not,-27,+16,-42
72,Washington County,-28,+9%,Not,-23,+12,Not
73,Wayne County,-42,-14,Not,-20,Not,Not
74,Webster County,-44,-18,Not,-49,Not,Not
75,Wilkinson County,Not,-22,Not,-51,Not,Not
76,Winston County,-27,-2%,Not,-20,Not,Not
77,Yalobusha County,Not,-8%,Not,-51,Not,Not
78,Yazoo County,-40,-8%,Not,-18,Not,Not
