,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-44,+1,-36,-32,+12,+16
1,Adair County,-50,+57,Not,-29,-1%,Not
2,Andrew County,-68,+12,Not,-24,Not,Not
3,Audrain County,-28,+2%,Not,-23,+6%,Not
4,Barry County,-32,+10,Not,-23,+11,Not
5,Barton County,-23,Not,Not,-34,Not,Not
6,Bates County,-27,+30,Not,-19,Not,Not
7,Benton County,-48,+13,Not,-32,Not,Not
8,Bollinger County,-50,-9%,Not,-45,Not,Not
9,Boone County,-54,+11,-61,-34,+12,-13
10,Buchanan County,-39,+21,-17,-30,+10,Not
11,Butler County,-33,-3%,Not,-22,+13,Not
12,Caldwell County,Not,Not,Not,-28,Not,Not
13,Callaway County,-40,+6%,Not,-18,+18,Not
14,Camden County,-43,+2%,Not,-32,+14,Not
15,Cape Girardeau County,-50,-17,Not,-35,+18,+0%
16,Carroll County,-30,Not,Not,-34,Not,Not
17,Cass County,-34,+1%,-23,-30,+11,+6%
18,Cedar County,-23,-12,Not,-27,Not,Not
19,Chariton County,Not,Not,Not,-39,Not,Not
20,Christian County,-36,+2%,Not,-30,+12,-34
21,Clark County,Not,-8%,-35,-28,Not,Not
22,Clay County,-43,+7%,-27,-37,+13,+14
23,Clinton County,-54,-10,Not,-20,Not,Not
24,Cole County,-43,+1%,Not,-27,+22,Not
25,Cooper County,-30,-2%,-17,-21,Not,Not
26,Crawford County,-32,+1%,-18,-28,Not,Not
27,Dade County,Not,Not,Not,-38,Not,Not
28,Dallas County,-10,+17,Not,-25,Not,Not
29,Daviess County,Not,Not,Not,-26,Not,Not
30,DeKalb County,-11,+3%,Not,-34,Not,Not
31,Dent County,-17,Not,Not,-11,Not,Not
32,Douglas County,-24,-21,Not,-33,Not,Not
33,Dunklin County,-26,+21,Not,-9%,Not,Not
34,Franklin County,-39,+16,-23,-28,+12,+22
35,Gasconade County,-34,Not,Not,-30,Not,Not
36,Gentry County,Not,Not,Not,-50,Not,Not
37,Greene County,-55,-22,-35,-36,+12,-25
38,Grundy County,-2%,+2%,Not,-27,Not,Not
39,Harrison County,-81,-20,-14,-32,Not,Not
40,Henry County,-34,+11,Not,-20,-1%,Not
41,Hickory County,Not,Not,Not,-25,Not,Not
42,Howard County,Not,Not,Not,-33,Not,Not
43,Howell County,-43,-5%,-12,-23,+13,Not
44,Iron County,-60,+10,Not,-32,Not,+44
45,Jackson County,-46,-3%,-10,-37,+12,-6%
46,Jasper County,-40,-1%,-17,-30,+11,+1%
47,Jefferson County,-38,+5%,-3%,-32,+13,+6%
48,Johnson County,-41,+10,Not,-29,+19,Not
49,Laclede County,-37,-3%,Not,-26,+15,Not
50,Lafayette County,-31,-3%,-18,-27,+15,Not
51,Lawrence County,-18,+18,-31,-29,+12,Not
52,Lewis County,-27,Not,Not,-41,Not,Not
53,Lincoln County,-36,+14,Not,-30,+19,Not
54,Linn County,-32,-4%,Not,-29,Not,Not
55,Livingston County,-11,+11,Not,-23,Not,Not
56,Macon County,-20,+6%,-20,-25,Not,Not
57,Madison County,-19,Not,Not,-30,Not,Not
58,Maries County,Not,Not,Not,-38,Not,Not
59,Marion County,-38,-2%,-38,-29,+13,Not
60,McDonald County,-28,+1%,Not,-16,-4%,Not
61,Miller County,-34,+13,Not,-29,-3%,-32
62,Mississippi County,-48,Not,-41,-26,Not,Not
63,Moniteau County,-22,+23,Not,-38,Not,Not
64,Monroe County,-61,Not,Not,-37,Not,Not
65,Montgomery County,-54,+2%,Not,-30,Not,Not
66,Morgan County,-26,+21,Not,-26,Not,Not
67,New Madrid County,-28,+7%,-37,-12,Not,Not
68,Newton County,-43,-7%,-24,-28,+16,+52
69,Nodaway County,-40,-17,Not,-25,Not,Not
70,Oregon County,-9%,+2%,Not,-33,Not,Not
71,Osage County,-74,-7%,Not,-44,Not,Not
72,Ozark County,Not,Not,Not,-32,Not,Not
73,Pemiscot County,-34,+22,-40,-17,Not,Not
74,Perry County,-42,-16,Not,-19,Not,Not
75,Pettis County,-38,-1%,Not,-29,+17,Not
76,Phelps County,-49,-8%,-26,-26,+18,Not
77,Pike County,-38,-11,Not,-13,Not,Not
78,Platte County,-55,+26,-83,-36,+14,+8%
79,Polk County,-37,-2%,Not,-24,+12,-46
80,Pulaski County,-40,-6%,-60,-17,+16,Not
81,Putnam County,Not,Not,Not,-33,Not,Not
82,Ralls County,-54,Not,-17,-33,Not,Not
83,Randolph County,-35,-8%,Not,-15,+1%,Not
84,Ray County,-32,+5%,Not,-34,+7%,Not
85,Ripley County,-5%,-2%,Not,-43,Not,Not
86,Saline County,-30,+1%,Not,-19,+0%,Not
87,Schuyler County,Not,Not,Not,-33,Not,Not
88,Scott County,-40,+6%,-27,-20,+15,Not
89,Shannon County,Not,Not,Not,-40,Not,Not
90,Shelby County,Not,Not,Not,-28,Not,Not
91,St. Charles County,-50,+6%,-23,-39,+14,+24
92,St. Clair County,-14,+8%,-25,-33,Not,Not
93,St. Francois County,-36,+4%,Not,-22,+15,-29
94,St. Louis,-62,-4%,-40,-40,+14,-33
95,St. Louis County,-49,-5%,-55,-39,+15,-5%
96,Ste. Genevieve County,-41,Not,-20,-20,Not,Not
97,Stoddard County,-32,-2%,Not,-15,-2%,Not
98,Stone County,-20,+14,Not,-32,+9%,Not
99,Sullivan County,Not,Not,Not,-7%,Not,Not
100,Taney County,-57,-4%,Not,-48,+16,-27
101,Texas County,-76,+97,Not,-18,Not,Not
102,Vernon County,-35,+6%,-29,-14,Not,Not
103,Warren County,-27,+6%,-15,-31,+18,Not
104,Washington County,-9%,+20,Not,-18,Not,Not
105,Wayne County,+0%,+9%,Not,-39,Not,Not
106,Webster County,-31,+4%,-36,-27,+13,Not
107,Wright County,-35,+23,Not,-18,Not,Not
