,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-45,-7,-49,-38,+14,-16
1,Alabama,-39,+3%,-35,-29,+10,+11
2,Alaska,-41,-4%,-52,-32,+10,+36
3,Arizona,-43,-14,-45,-36,+14,-42
4,Arkansas,-35,+1%,-34,-26,+10,+1%
5,California,-48,-14,-53,-40,+18,-46
6,Colorado,-46,-11,-53,-40,+14,-2%
7,Connecticut,-44,-9%,-54,-40,+15,+76
8,Delaware,-41,-16,-48,-37,+14,+26
9,District of Columbia,-69,-28,-69,-48,+17,-65
10,Florida,-49,-20,-65,-40,+15,-54
11,Georgia,-40,-5%,-53,-36,+13,+3%
12,Hawaii,-55,-29,-74,-47,+18,-66
13,Idaho,-40,+0%,-35,-34,+11,+12
14,Illinois,-46,-1%,-46,-38,+14,+10
15,Indiana,-40,-2%,-29,-36,+12,+70
16,Iowa,-44,+7%,-28,-28,+12,+40
17,Kansas,-41,-3%,-23,-31,+11,+97
18,Kentucky,-39,+3%,-36,-33,+10,+60
19,Louisiana,-45,-2%,-54,-36,+14,-35
20,Maine,-43,-2%,-55,-33,+10,-16
21,Maryland,-43,-14,-49,-39,+15,+24
22,Massachusetts,-49,-12,-64,-44,+16,+33
23,Michigan,-58,-15,-51,-45,+16,+59
24,Minnesota,-44,-2%,-51,-36,+14,+50
25,Mississippi,-35,+1%,-38,-32,+11,-12
26,Missouri,-44,+1%,-36,-32,+12,+16
27,Montana,-55,-11,-46,-39,+15,-51
28,Nebraska,-39,+4%,-21,-29,+11,+52
29,Nevada,-45,-13,-55,-53,+16,-43
30,New Hampshire,-42,-7%,-51,-37,+13,+4%
31,New Jersey,-61,-3%,-65,-47,+18,-12
32,New Mexico,-46,-10,-36,-36,+14,-22
33,New York,-62,-4%,-65,-48,+18,-12
34,North Carolina,-40,-5%,-49,-35,+11,+20
35,North Dakota,-48,+1%,-43,-28,+15,-18
36,Ohio,-41,-2%,-28,-37,+12,+82
37,Oklahoma,-38,-1%,-27,-32,+12,-8%
38,Oregon,-45,-7%,-41,-36,+12,+16
39,Pennsylvania,-47,-12,-50,-40,+15,+19
40,Rhode Island,-45,-4%,-57,-40,+15,+45
41,South Carolina,-41,-2%,-45,-34,+11,-24
42,South Dakota,-47,+1%,-42,-31,+15,-16
43,Tennessee,-40,+2%,-36,-33,+10,+11
44,Texas,-45,-14,-49,-38,+16,-54
45,Utah,-42,-4%,-43,-34,+12,+28
46,Vermont,-54,-23,-64,-44,+15,-4%
47,Virginia,-40,-9%,-49,-36,+13,+17
48,Washington,-47,-10,-50,-41,+14,+3%
49,West Virginia,-38,-5%,-39,-31,+10,+12
50,Wisconsin,-47,-2%,-34,-33,+13,+67
51,Wyoming,-41,-2%,-15,-30,+12,-25
