,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-55,-11,-46,-39,+15,-51
1,Beaverhead County,-39,-20,Not,-34,Not,Not
2,Big Horn County,-31,-7%,-20,-38,Not,Not
3,Blaine County,Not,Not,Not,-51,Not,Not
4,Broadwater County,-67,-5%,Not,-43,Not,Not
5,Carbon County,-61,-21,Not,-47,Not,Not
6,Cascade County,-58,-26,-73,-41,+15,-60
7,Custer County,-35,Not,Not,-36,Not,Not
8,Dawson County,-60,-2%,Not,-34,Not,Not
9,Deer Lodge County,-51,-12,Not,-40,Not,Not
10,Fergus County,-38,-22,Not,-38,Not,Not
11,Flathead County,-49,-12,-41,-39,+13,-56
12,Gallatin County,-64,-27,-70,-50,+19,-61
13,Glacier County,-59,-17,Not,-63,Not,Not
14,Hill County,-32,+4%,Not,-32,Not,Not
15,Jefferson County,-64,Not,Not,-45,Not,Not
16,Lake County,-26,-9%,Not,-29,+1%,Not
17,Lewis and Clark County,-55,-22,Not,-41,+19,-56
18,Lincoln County,-81,-18,Not,-32,Not,Not
19,Madison County,-10,Not,Not,-59,Not,-62
20,Mineral County,Not,-61,Not,-38,Not,Not
21,Missoula County,-54,-19,-41,-41,+15,-44
22,Park County,-49,-16,Not,-45,Not,Not
23,Pondera County,-56,Not,Not,Not,Not,Not
24,Powell County,Not,Not,Not,-35,Not,Not
25,Ravalli County,-35,+6%,Not,-35,+12,Not
26,Richland County,-43,-15,Not,-36,Not,Not
27,Roosevelt County,-20,-20,Not,-50,Not,Not
28,Rosebud County,Not,Not,Not,-40,Not,Not
29,Sanders County,-60,-24,Not,-39,Not,Not
30,Silver Bow County,-44,+3%,-35,-40,+11,Not
31,Stillwater County,-47,Not,-28,-38,Not,Not
32,Teton County,Not,Not,Not,-34,Not,Not
33,Valley County,-68,Not,Not,-37,Not,Not
34,Yellowstone County,-53,-7%,-59,-36,+14,-43
