,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-39,+4,-21,-29,+11,+52
1,Adams County,-38,-9%,Not,-19,+18,Not
2,Antelope County,Not,Not,Not,-26,Not,Not
3,Box Butte County,-28,-2%,Not,-13,Not,Not
4,Buffalo County,-53,-8%,-17,-33,+21,Not
5,Burt County,-58,Not,Not,-33,Not,Not
6,Butler County,-55,Not,Not,-36,Not,Not
7,Cass County,-45,Not,Not,-29,+12,-63
8,Cedar County,Not,Not,Not,-42,Not,Not
9,Cherry County,-68,Not,Not,-39,Not,Not
10,Cheyenne County,-29,-20,+6%,-43,Not,Not
11,Clay County,Not,Not,Not,-42,Not,Not
12,Colfax County,-65,-8%,Not,-8%,Not,Not
13,Cuming County,-37,Not,Not,-36,Not,Not
14,Custer County,-49,-11,Not,-30,Not,Not
15,Dakota County,-18,+49,Not,+13,+1%,Not
16,Dawes County,-38,Not,Not,-35,Not,Not
17,Dawson County,-21,+0%,Not,-20,-2%,Not
18,Deuel County,Not,Not,+3%,Not,Not,Not
19,Dixon County,Not,Not,Not,-30,Not,Not
20,Dodge County,-24,+3%,-14,-29,+16,Not
21,Douglas County,-45,+6%,-34,-34,+12,-4%
22,Fillmore County,Not,Not,Not,-27,Not,Not
23,Gage County,-34,+9%,Not,-21,+1%,Not
24,Hall County,-49,-20,-9%,-35,+20,Not
25,Hamilton County,-58,Not,-1%,-34,Not,Not
26,Holt County,-25,-4%,Not,-26,Not,Not
27,Howard County,Not,Not,Not,-38,Not,Not
28,Jefferson County,-25,Not,Not,-34,Not,Not
29,Johnson County,Not,Not,Not,-34,Not,Not
30,Kearney County,Not,Not,Not,-42,Not,Not
31,Keith County,-36,-22,+0%,-29,Not,Not
32,Kimball County,Not,Not,Not,-49,Not,Not
33,Knox County,Not,Not,Not,-45,Not,Not
34,Lancaster County,-40,-5%,-19,-30,+11,+11
35,Lincoln County,-38,+3%,-14,-22,+14,Not
36,Madison County,-38,+3%,Not,-23,+16,Not
37,Merrick County,-30,Not,Not,-37,Not,Not
38,Morrill County,Not,Not,Not,-36,Not,Not
39,Nemaha County,-58,Not,Not,-32,Not,Not
40,Otoe County,-21,+51,Not,-23,Not,Not
41,Phelps County,-29,+16,Not,-45,Not,Not
42,Pierce County,Not,Not,Not,-40,Not,Not
43,Platte County,-35,+0%,-8%,-16,+19,Not
44,Polk County,Not,Not,Not,-37,Not,Not
45,Red Willow County,-24,Not,Not,-24,Not,Not
46,Richardson County,-36,-2%,Not,-23,Not,Not
47,Saline County,-23,+14,Not,-34,Not,Not
48,Sarpy County,-38,+0%,-6%,-31,+12,+11
49,Saunders County,-35,+20,Not,-24,Not,Not
50,Scotts Bluff County,-36,-1%,Not,-26,+14,Not
51,Seward County,-33,Not,Not,-19,Not,Not
52,Stanton County,Not,Not,Not,-33,Not,Not
53,Thayer County,Not,Not,Not,-17,Not,Not
54,Thurston County,Not,Not,Not,-40,Not,Not
55,Washington County,-25,-9%,Not,-21,Not,Not
56,Wayne County,-39,Not,Not,-45,Not,Not
57,York County,-48,Not,-17,-27,Not,Not
