,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-45,-13,-55,-53,+16,-43
1,Carson City,-35,-2%,Not,-40,+20,+34
2,Churchill County,-19,-15,Not,-31,+5%,Not
3,Clark County,-47,-15,-59,-56,+18,-50
4,Douglas County,-54,-42,Not,-46,+19,-32
5,Elko County,-43,+20,+0%,-34,+16,+7%
6,Humboldt County,-49,+2%,-13,-26,Not,Not
7,Lander County,-57,-14,Not,-48,Not,Not
8,Lyon County,-21,+16,-20,-40,+18,Not
9,Mineral County,Not,Not,-21,Not,Not,Not
10,Nye County,-29,-14,-20,-38,+15,-61
11,Pershing County,Not,Not,-10,-30,Not,Not
12,Storey County,-67,Not,Not,-51,Not,Not
13,Washoe County,-43,-11,-53,-45,+14,+19
14,White Pine County,-57,-13,-14,-21,Not,Not
