,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-48,+1,-43,-28,+15,-18
1,Barnes County,-34,Not,Not,-41,Not,Not
2,Bottineau County,-34,Not,Not,-51,Not,Not
3,Burleigh County,-51,-8%,-54,-32,+14,-15
4,Cass County,-56,-11,-38,-32,+15,+8%
5,Dunn County,-56,-17,Not,Not,Not,-54
6,Grand Forks County,-51,+1%,-51,-31,+24,-53
7,McKenzie County,-48,-21,-45,-31,Not,Not
8,McLean County,-63,Not,Not,-40,Not,Not
9,Mercer County,Not,+6%,Not,-41,Not,Not
10,Morton County,-45,+6%,-11,-35,+19,Not
11,Mountrail County,-67,-25,Not,-36,Not,Not
12,Pembina County,Not,Not,Not,-44,Not,Not
13,Ramsey County,-42,-16,Not,-41,Not,Not
14,Ransom County,Not,Not,Not,-56,Not,Not
15,Richland County,-38,+2%,Not,-29,Not,Not
16,Rolette County,-33,Not,Not,-57,Not,Not
17,Sargent County,Not,Not,Not,-56,Not,Not
18,Stark County,-41,+3%,Not,-23,+14,Not
19,Stutsman County,-34,-16,Not,-25,Not,Not
20,Traill County,Not,Not,Not,-50,Not,Not
21,Walsh County,-33,Not,Not,-41,Not,Not
22,Ward County,-42,+10,-57,-30,+21,Not
23,Williams County,-37,+4%,-37,-29,+21,Not
