,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-41,-2,-28,-37,+12,+82
1,Adams County,-39,+32,Not,-23,-2%,Not
2,Allen County,-44,-2%,-20,-32,+12,+11
3,Ashland County,-36,+8%,Not,-40,+23,Not
4,Ashtabula County,-29,+8%,-28,-29,+11,+81
5,Athens County,-53,-6%,Not,-39,+18,Not
6,Auglaize County,-39,-3%,Not,-28,+22,Not
7,Belmont County,-40,+32,-36,-27,+19,Not
8,Brown County,-31,+10,Not,-24,+19,Not
9,Butler County,-45,-6%,-12,-34,+12,+13
10,Carroll County,-37,-8%,Not,-30,+0%,Not
11,Champaign County,-34,-5%,Not,-39,+20,Not
12,Clark County,-32,+1%,-15,-31,+10,Not
13,Clermont County,-39,-8%,Not,-37,+12,+68
14,Clinton County,-37,+6%,+17,-31,+22,Not
15,Columbiana County,-28,+17,Not,-37,+12,Not
16,Coshocton County,-28,+0%,Not,-23,+16,Not
17,Crawford County,-32,+1%,Not,-38,+22,Not
18,Cuyahoga County,-47,-1%,-38,-40,+13,+67
19,Darke County,-29,+0%,Not,-27,+23,Not
20,Defiance County,-39,+4%,Not,-31,+20,Not
21,Delaware County,-58,-17,-37,-41,+14,+13
22,Erie County,-42,+2%,Not,-43,+12,+2%
23,Fairfield County,-45,-2%,Not,-29,+12,+58
24,Fayette County,-35,-4%,-32,-31,+9%,Not
25,Franklin County,-46,-9%,-38,-40,+13,+43
26,Fulton County,-33,+7%,-45,-32,+26,Not
27,Gallia County,-35,-6%,-17,-21,Not,Not
28,Geauga County,-37,-6%,Not,-39,+27,+10
29,Greene County,-47,-3%,Not,-37,+12,+14
30,Guernsey County,-32,-8%,-28,-27,+15,Not
31,Hamilton County,-47,-7%,-18,-38,+13,+94
32,Hancock County,-46,-5%,-28,-45,+26,Not
33,Hardin County,-30,+3%,Not,-38,+13,Not
34,Harrison County,-2%,+5%,Not,-25,Not,Not
35,Henry County,-34,-6%,-40,-36,+13,Not
36,Highland County,-16,+4%,Not,-27,+19,Not
37,Hocking County,-42,-11,Not,-32,-3%,-35
38,Holmes County,-53,-13,Not,-31,-1%,Not
39,Huron County,-31,+13,Not,-38,+22,Not
40,Jackson County,-25,+27,-35,-28,-1%,Not
41,Jefferson County,-28,+14,-17,-30,+19,Not
42,Knox County,-26,+14,Not,-36,+22,Not
43,Lake County,-43,-1%,-30,-37,+14,+12
44,Lawrence County,-28,-4%,Not,-31,+19,Not
45,Licking County,-35,-3%,-32,-33,+12,+9%
46,Logan County,-22,+4%,Not,-48,+23,Not
47,Lorain County,-36,+10,-59,-35,+12,+11
48,Lucas County,-48,+0%,-12,-38,+14,+61
49,Madison County,-40,-9%,-24,-35,+21,Not
50,Mahoning County,-42,+0%,-34,-38,+13,+97
51,Marion County,-29,+5%,Not,-39,+21,Not
52,Medina County,-41,+4%,-30,-34,+14,Not
53,Meigs County,-29,Not,Not,-18,Not,Not
54,Mercer County,-34,-6%,Not,-32,+22,Not
55,Miami County,-36,-4%,Not,-35,+12,-4%
56,Monroe County,-57,-6%,Not,-44,Not,Not
57,Montgomery County,-45,-3%,+2%,-37,+12,+87
58,Morgan County,-22,+20,Not,-34,Not,Not
59,Morrow County,-45,-6%,-33,-31,+18,Not
60,Muskingum County,-33,-6%,-21,-30,+10,Not
61,Noble County,-53,+9%,-17,-39,Not,Not
62,Ottawa County,-32,+6%,Not,-32,+22,Not
63,Paulding County,+11,+13,Not,-38,Not,Not
64,Perry County,-5%,+3%,Not,-25,+10,Not
65,Pickaway County,-21,+5%,-5%,-25,+20,Not
66,Pike County,-22,-5%,Not,-22,Not,Not
67,Portage County,-41,-2%,-40,-38,+13,+22
68,Preble County,-23,-20,+1%,-32,+22,Not
69,Putnam County,-37,+17,Not,-40,+16,Not
70,Richland County,-46,-5%,-32,-39,+11,Not
71,Ross County,-38,+7%,+3%,-25,+17,Not
72,Sandusky County,-30,+5%,-52,-35,+25,Not
73,Scioto County,-33,+0%,Not,-22,+15,Not
74,Seneca County,-27,+10,Not,-38,+26,Not
75,Shelby County,-26,-15,-29,-41,+21,Not
76,Stark County,-40,-3%,-7%,-35,+12,+89
77,Summit County,-43,+0%,-23,-39,+13,+59
78,Trumbull County,-38,+8%,-19,-37,+12,+87
79,Tuscarawas County,-35,+9%,Not,-35,+12,Not
80,Union County,-38,+1%,Not,-40,+30,Not
81,Van Wert County,-25,-8%,Not,-34,+19,Not
82,Vinton County,-56,+9%,Not,-46,Not,Not
83,Warren County,-45,+5%,-24,-37,+13,+75
84,Washington County,-40,-2%,Not,-31,+19,Not
85,Wayne County,-46,+1%,-35,-36,+12,Not
86,Williams County,-32,-11,-58,-32,+21,Not
87,Wood County,-46,-16,-31,-40,+14,-7%
88,Wyandot County,-40,+6%,-14,-39,+6%,Not
