,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-38,-1,-27,-32,+12,-8
1,Adair County,-22,+8%,Not,-33,Not,Not
2,Atoka County,-31,-24,-33,-28,Not,Not
3,Beckham County,-31,-8%,-20,-22,Not,Not
4,Blaine County,-30,-4%,Not,-36,Not,Not
5,Bryan County,-36,-19,-38,-31,+16,Not
6,Caddo County,-12,+7%,-23,-25,Not,Not
7,Canadian County,-34,-14,-17,-35,+14,+26
8,Carter County,-37,+9%,-25,-29,+15,Not
9,Cherokee County,-26,-1%,Not,-31,+18,Not
10,Choctaw County,-25,-5%,Not,-21,Not,Not
11,Cleveland County,-46,-9%,Not,-37,+14,-28
12,Coal County,Not,Not,Not,-38,Not,Not
13,Comanche County,-49,+0%,-33,-36,+13,-18
14,Cotton County,Not,-23,-51,-41,Not,Not
15,Craig County,-18,-25,-2%,-22,Not,Not
16,Creek County,-20,+12,Not,-30,+17,-37
17,Custer County,-30,-8%,-24,-33,Not,Not
18,Delaware County,-17,+22,-22,-25,+13,Not
19,Garfield County,-30,+6%,-31,-23,+16,-54
20,Garvin County,-25,+2%,-20,-24,-4%,-56
21,Grady County,-35,+6%,Not,-24,+16,Not
22,Greer County,Not,Not,Not,-43,Not,Not
23,Haskell County,-20,-12,Not,-30,Not,Not
24,Hughes County,-6%,+8%,Not,-24,Not,Not
25,Jackson County,-43,-2%,Not,-20,+9%,Not
26,Jefferson County,Not,-4%,Not,-46,Not,Not
27,Johnston County,-58,+9%,Not,-40,Not,Not
28,Kay County,-17,+17,-32,-28,+17,Not
29,Kingfisher County,-24,Not,Not,-36,Not,Not
30,Kiowa County,-15,-2%,Not,-32,Not,Not
31,Latimer County,-26,-11,Not,-44,Not,Not
32,Le Flore County,-28,+5%,Not,-29,+11,Not
33,Lincoln County,-35,-5%,Not,-26,+12,Not
34,Logan County,-40,-3%,-18,-25,+17,Not
35,Love County,-50,-13,Not,-44,Not,Not
36,Major County,Not,Not,Not,-38,Not,Not
37,Marshall County,-29,+7%,Not,-21,Not,Not
38,Mayes County,-29,+3%,-22,-24,+16,Not
39,McClain County,-23,-7%,-52,-36,+15,Not
40,McCurtain County,-34,-4%,-23,-22,+7%,+2%
41,McIntosh County,-31,+24,-24,-23,Not,Not
42,Murray County,-31,+0%,Not,-35,Not,-19
43,Muskogee County,-32,+10,-28,-23,+14,+19
44,Noble County,-40,-7%,-62,-50,Not,Not
45,Nowata County,-51,-2%,-28,-52,Not,Not
46,Okfuskee County,-41,-4%,-41,-44,Not,Not
47,Oklahoma County,-45,-4%,-34,-35,+13,-17
48,Okmulgee County,-19,+0%,-27,-26,+15,Not
49,Osage County,-18,+12,Not,-28,+17,Not
50,Ottawa County,-21,-2%,Not,-34,+10,Not
51,Pawnee County,-32,-11,Not,-26,Not,Not
52,Payne County,-43,-12,Not,-31,+21,+10
53,Pittsburg County,-36,+12,-49,-27,+13,-38
54,Pontotoc County,-35,-6%,Not,-33,+15,Not
55,Pottawatomie County,-39,+13,Not,-32,+19,-56
56,Pushmataha County,-37,+4%,Not,-33,Not,Not
57,Rogers County,-34,+3%,Not,-32,+12,+16
58,Seminole County,-20,+13,-11,-26,Not,Not
59,Sequoyah County,-23,+4%,-25,-28,+12,Not
60,Stephens County,-34,+2%,Not,-28,+15,Not
61,Texas County,-31,-12,-28,-25,Not,Not
62,Tillman County,-14,+0%,Not,-48,Not,Not
63,Tulsa County,-44,+0%,-6%,-36,+12,-31
64,Wagoner County,-12,+4%,Not,-34,+18,Not
65,Washington County,-40,+7%,Not,-28,+17,Not
66,Washita County,Not,-17,Not,-31,Not,Not
67,Woods County,-19,Not,Not,-38,Not,+4%
68,Woodward County,-39,-11,Not,-18,Not,Not
