,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-45,-7,-41,-36,+12,+16
1,Baker County,-38,-10,-27,-31,Not,Not
2,Benton County,-54,-21,-49,-44,+23,+44
3,Clackamas County,-46,-9%,-27,-37,+13,+6%
4,Clatsop County,-55,-23,-61,-40,+16,-25
5,Columbia County,-31,-2%,Not,-32,+16,+58
6,Coos County,-33,+3%,Not,-34,+13,-11
7,Crook County,-32,-15,Not,-33,-1%,Not
8,Curry County,-47,-10,Not,-31,Not,+16
9,Deschutes County,-46,-8%,-61,-37,+11,-14
10,Douglas County,-30,+10,-11,-26,+7%,+17
11,Grant County,-70,-19,Not,-28,Not,Not
12,Harney County,-41,-6%,Not,-22,Not,Not
13,Hood River County,-48,+6%,Not,-41,Not,-3%
14,Jackson County,-40,-1%,-37,-33,+8%,+44
15,Jefferson County,-36,-6%,-8%,-33,+0%,Not
16,Josephine County,-32,+3%,-37,-29,+8%,+64
17,Klamath County,-36,+7%,-20,-28,+7%,+18
18,Lake County,-38,Not,Not,-30,Not,Not
19,Lane County,-45,-9%,-48,-37,+11,+29
20,Lincoln County,-58,-24,Not,-45,+16,-43
21,Linn County,-32,+4%,-27,-28,+10,+38
22,Malheur County,-21,+11,+1%,-17,+7%,Not
23,Marion County,-41,-1%,-26,-30,+11,+37
24,Morrow County,-41,Not,-21,-21,Not,Not
25,Multnomah County,-60,-15,-54,-43,+14,+5%
26,Polk County,-27,+6%,Not,-37,+11,+41
27,Sherman County,Not,Not,-28,Not,Not,Not
28,Tillamook County,-56,-13,Not,-29,-1%,-10
29,Umatilla County,-27,+20,-23,-28,+8%,+13
30,Union County,-30,-31,-34,-26,+0%,Not
31,Wallowa County,-68,-14,Not,-27,Not,Not
32,Wasco County,-33,+1%,Not,-31,+7%,+12
33,Washington County,-47,-15,-43,-39,+14,+47
34,Yamhill County,-34,-4%,-63,-33,+11,+66
