,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-47,-12,-50,-40,+15,+19
1,Adams County,-54,-3%,Not,-40,+14,+16
2,Allegheny County,-54,-8%,-52,-45,+15,+8%
3,Armstrong County,-35,+5%,Not,-33,+24,Not
4,Beaver County,-42,+2%,-52,-42,+14,+14
5,Bedford County,-45,+10,-79,-28,+18,Not
6,Berks County,-45,-14,-38,-43,+15,+53
7,Blair County,-51,-6%,-35,-34,+12,-36
8,Bradford County,-31,+10,Not,-18,+22,Not
9,Bucks County,-47,-24,-44,-41,+16,+54
10,Butler County,-47,-35,-31,-40,+14,+0%
11,Cambria County,-46,-3%,Not,-32,+12,Not
12,Carbon County,-35,-7%,Not,-38,+24,-13
13,Centre County,-64,-21,-45,-47,+15,-5%
14,Chester County,-49,-24,-69,-40,+15,+12
15,Clarion County,-46,-13,Not,-23,+10,Not
16,Clearfield County,-39,-5%,-7%,-27,+11,-34
17,Clinton County,-28,-13,-38,-27,+17,Not
18,Columbia County,-44,+11,-32,-34,+26,Not
19,Crawford County,-35,+11,Not,-38,+24,Not
20,Cumberland County,-51,-9%,-31,-38,+14,+83
21,Dauphin County,-53,-24,-55,-37,+14,+28
22,Delaware County,-44,-14,-39,-40,+16,+57
23,Elk County,-32,-8%,Not,-38,+8%,Not
24,Erie County,-46,+6%,-39,-40,+13,+80
25,Fayette County,-35,+8%,Not,-36,+11,-34
26,Franklin County,-38,-6%,-24,-35,+12,-15
27,Fulton County,-12,-27,-65,-53,Not,Not
28,Greene County,-33,-10,Not,-30,+3%,Not
29,Huntingdon County,-36,+4%,Not,-25,+18,Not
30,Indiana County,-43,-11,Not,-29,+25,Not
31,Jefferson County,-35,-4%,-29,-24,+16,Not
32,Juniata County,-48,-34,Not,-42,Not,Not
33,Lackawanna County,-49,+0%,-42,-37,+13,+64
34,Lancaster County,-51,-19,-54,-39,+15,+36
35,Lawrence County,-33,+0%,Not,-29,+11,-50
36,Lebanon County,-39,-6%,-33,-37,+14,-42
37,Lehigh County,-53,-16,-54,-41,+16,+46
38,Luzerne County,-50,-6%,-31,-40,+14,+51
39,Lycoming County,-46,-1%,-29,-33,+12,-28
40,McKean County,-41,-3%,Not,-28,+16,Not
41,Mercer County,-49,-17,Not,-37,+12,Not
42,Mifflin County,-32,-9%,Not,-26,+24,Not
43,Monroe County,-53,-4%,-63,-47,+16,-6%
44,Montgomery County,-55,-25,-52,-45,+17,+62
45,Montour County,-60,-33,Not,-28,Not,Not
46,Northampton County,-51,-13,-42,-41,+16,+73
47,Northumberland County,-40,+10,-20,-29,+12,Not
48,Perry County,-31,+10,Not,-30,+27,Not
49,Philadelphia County,-54,-17,-55,-43,+16,-37
50,Pike County,-42,+16,Not,-39,+28,Not
51,Potter County,-38,+1%,Not,-25,Not,Not
52,Schuylkill County,-34,+4%,-30,-35,+12,-43
53,Snyder County,-49,-6%,Not,-29,+12,Not
54,Somerset County,-46,+3%,-57,-30,+25,+40
55,Sullivan County,Not,Not,Not,-51,Not,Not
56,Susquehanna County,-48,-18,-48,-27,+16,-42
57,Tioga County,-41,-13,Not,-34,+18,Not
58,Union County,-47,-4%,Not,-28,+14,Not
59,Venango County,-35,+1%,-61,-30,+24,Not
60,Warren County,-30,+15,Not,-32,+17,-38
61,Washington County,-48,-2%,-24,-38,+13,+27
62,Wayne County,-37,-6%,Not,-36,+17,Not
63,Westmoreland County,-42,-5%,-41,-37,+13,+43
64,Wyoming County,-48,-4%,Not,-33,-1%,Not
65,York County,-42,-14,-42,-39,+14,+42
