,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-41,-2,-45,-34,+11,-24
1,Abbeville County,-30,+7%,Not,-25,Not,Not
2,Aiken County,-32,-1%,-27,-33,+11,-19
3,Allendale County,Not,-12,Not,-43,Not,Not
4,Anderson County,-45,+8%,-37,-33,+11,+8%
5,Bamberg County,-32,+4%,Not,-30,Not,Not
6,Barnwell County,-33,+4%,Not,-24,Not,Not
7,Beaufort County,-43,-10,-57,-38,+12,-40
8,Berkeley County,-35,+1%,-40,-34,+12,+7%
9,Calhoun County,-16,+13,-63,-27,Not,Not
10,Charleston County,-52,-20,-60,-41,+13,-58
11,Cherokee County,-44,+4%,-32,-36,+17,-13
12,Chester County,-35,+3%,-45,-28,+13,Not
13,Chesterfield County,-31,+7%,Not,-22,+14,Not
14,Clarendon County,-31,-2%,-45,-27,Not,Not
15,Colleton County,-35,-4%,-52,-30,+13,Not
16,Darlington County,-27,+0%,Not,-30,+19,-28
17,Dillon County,-29,+0%,-33,-30,-2%,-64
18,Dorchester County,-33,+1%,-47,-37,+12,-30
19,Edgefield County,-54,+7%,Not,-23,Not,Not
20,Fairfield County,-3%,+5%,-47,-27,Not,Not
21,Florence County,-46,+3%,-38,-29,+10,+4%
22,Georgetown County,-47,-2%,Not,-30,+15,-23
23,Greenville County,-47,+1%,-18,-39,+13,-41
24,Greenwood County,-39,-1%,Not,-23,+16,Not
25,Hampton County,-47,-7%,-34,-22,Not,Not
26,Horry County,-53,-13,-75,-41,+12,-45
27,Jasper County,-39,-13,-28,-34,+8%,-54
28,Kershaw County,-39,+13,-53,-24,+19,Not
29,Lancaster County,-34,+0%,Not,-31,+20,Not
30,Laurens County,-19,+19,-32,-31,+9%,Not
31,Lee County,-70,+8%,-39,-18,Not,Not
32,Lexington County,-44,-5%,-32,-30,+11,+7%
33,Marion County,-31,+12,Not,-28,+2%,Not
34,Marlboro County,-29,-2%,Not,-37,Not,Not
35,McCormick County,-49,+11,Not,-43,Not,Not
36,Newberry County,-27,+4%,-47,-29,+17,Not
37,Oconee County,-35,+9%,Not,-29,+16,-10
38,Orangeburg County,-33,+0%,-49,-28,+10,Not
39,Pickens County,-36,+4%,Not,-28,+10,-17
40,Richland County,-42,-8%,-31,-34,+13,-37
41,Saluda County,-40,+3%,Not,-23,Not,Not
42,Spartanburg County,-41,-2%,-60,-35,+11,+21
43,Sumter County,-36,+1%,-45,-33,+11,Not
44,Union County,-30,+1%,Not,-35,+4%,Not
45,Williamsburg County,-31,+2%,Not,-19,Not,Not
46,York County,-38,-5%,-40,-37,+13,-12
